cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,0,*,*,*,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,0,*,*,*,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,0,*,*,*,[3.4763439588541063]
3,10.40.182.3,*,10.40.182.3,0,*,*,*,[3.477838527698241]
4,10.40.85.1,*,10.40.85.30,0,*,*,*,[2.7937414508601557]
5,10.40.85.1,*,175.45.176.2,0,*,*,*,[10]
6,10.40.85.1,*,224.0.0.5,0,*,*,*,[3.4763439588541063]
7,10.40.85.30,*,10.40.85.1,0,*,*,*,[2.901256033955994]
8,149.171.126.0,*,59.166.0.1,36410,*,*,*,[10]
9,149.171.126.0,*,59.166.0.3,35783,*,*,*,[10]
10,149.171.126.0,*,59.166.0.6,51720,*,*,*,[10]
11,149.171.126.0,*,59.166.0.8,44192,*,*,*,[10]
12,149.171.126.1,*,59.166.0.0,15271,*,*,*,[10]
13,149.171.126.1,*,59.166.0.1,56708,*,*,*,[10]
14,149.171.126.1,*,59.166.0.2,47920,*,*,*,[10]
15,149.171.126.1,*,59.166.0.2,9263,*,*,*,[10]
16,149.171.126.1,*,59.166.0.3,12809,*,*,*,[10]
17,149.171.126.1,*,59.166.0.4,36725,*,*,*,[10]
18,149.171.126.1,*,59.166.0.5,30229,*,*,*,[10]
19,149.171.126.1,*,59.166.0.5,40110,*,*,*,[10]
20,149.171.126.1,*,59.166.0.5,59938,*,*,*,[10]
21,149.171.126.1,*,59.166.0.9,10547,*,*,*,[10]
22,149.171.126.11,*,175.45.176.1,60986,*,*,*,[10]
23,149.171.126.12,*,175.45.176.1,65488,*,*,*,[10]
24,149.171.126.15,*,175.45.176.0,5060,*,*,*,[10]
25,149.171.126.15,*,175.45.176.3,13067,*,*,*,[10]
26,149.171.126.15,*,175.45.176.3,31459,*,*,*,[10]
27,149.171.126.15,*,175.45.176.3,58602,*,*,*,[10]
28,149.171.126.18,*,175.45.176.0,4569,*,*,*,[10]
29,149.171.126.18,*,175.45.176.1,53,*,*,*,[10]
30,149.171.126.19,*,175.45.176.1,48879,*,*,*,[10]
31,149.171.126.2,*,59.166.0.0,43903,*,*,*,[10]
32,149.171.126.2,*,59.166.0.0,51510,*,*,*,[10]
33,149.171.126.2,*,59.166.0.1,38017,*,*,*,[10]
34,149.171.126.2,*,59.166.0.2,57613,*,*,*,[10]
35,149.171.126.2,*,59.166.0.3,29810,*,*,*,[10]
36,149.171.126.2,*,59.166.0.3,33260,*,*,*,[10]
37,149.171.126.2,*,59.166.0.3,58324,*,*,*,[10]
38,149.171.126.2,*,59.166.0.4,14417,*,*,*,[10]
39,149.171.126.2,*,59.166.0.4,35211,*,*,*,[10]
40,149.171.126.2,*,59.166.0.4,35880,*,*,*,[10]
41,149.171.126.2,*,59.166.0.5,1047,*,*,*,[10]
42,149.171.126.2,*,59.166.0.5,41515,*,*,*,[10]
43,149.171.126.2,*,59.166.0.5,8819,*,*,*,[10]
44,149.171.126.2,*,59.166.0.6,29421,*,*,*,[10]
45,149.171.126.2,*,59.166.0.6,35002,*,*,*,[10]
46,149.171.126.2,*,59.166.0.7,13824,*,*,*,[10]
47,149.171.126.2,*,59.166.0.7,20873,*,*,*,[10]
48,149.171.126.2,*,59.166.0.7,40104,*,*,*,[10]
49,149.171.126.2,*,59.166.0.8,36786,*,*,*,[10]
50,149.171.126.2,*,59.166.0.8,57426,*,*,*,[10]
51,149.171.126.2,*,59.166.0.9,20203,*,*,*,[10]
52,149.171.126.2,*,59.166.0.9,22196,*,*,*,[10]
53,149.171.126.2,*,59.166.0.9,65313,*,*,*,[10]
54,149.171.126.3,*,59.166.0.1,1547,*,*,*,[10]
55,149.171.126.3,*,59.166.0.1,29658,*,*,*,[10]
56,149.171.126.3,*,59.166.0.1,31444,*,*,*,[10]
57,149.171.126.3,*,59.166.0.1,37057,*,*,*,[10]
58,149.171.126.3,*,59.166.0.1,40396,*,*,*,[10]
59,149.171.126.3,*,59.166.0.2,36169,*,*,*,[10]
60,149.171.126.3,*,59.166.0.2,56796,*,*,*,[10]
61,149.171.126.3,*,59.166.0.3,40291,*,*,*,[10]
62,149.171.126.3,*,59.166.0.3,62463,*,*,*,[10]
63,149.171.126.3,*,59.166.0.3,7378,*,*,*,[10]
