cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,0,*,arp,*,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,0,*,arp,*,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,0,*,ospf,*,[3.4763439588541063]
3,10.40.182.3,*,10.40.182.3,0,*,arp,*,[3.477838527698241]
4,10.40.85.1,*,10.40.85.30,0,*,arp,*,[2.7937414508601557]
5,10.40.85.1,*,175.45.176.2,0,*,icmp,*,[10]
6,10.40.85.1,*,224.0.0.5,0,*,ospf,*,[3.4763439588541063]
7,10.40.85.30,*,10.40.85.1,0,*,arp,*,[2.901256033955994]
8,149.171.126.0,*,59.166.0.1,36410,*,tcp,*,[10]
9,149.171.126.0,*,59.166.0.3,35783,*,tcp,*,[10]
10,149.171.126.0,*,59.166.0.6,51720,*,tcp,*,[10]
11,149.171.126.0,*,59.166.0.8,44192,*,tcp,*,[10]
12,149.171.126.1,*,59.166.0.0,15271,*,tcp,*,[10]
13,149.171.126.1,*,59.166.0.1,56708,*,tcp,*,[10]
14,149.171.126.1,*,59.166.0.2,47920,*,tcp,*,[10]
15,149.171.126.1,*,59.166.0.2,9263,*,tcp,*,[10]
16,149.171.126.1,*,59.166.0.3,12809,*,tcp,*,[10]
17,149.171.126.1,*,59.166.0.4,36725,*,tcp,*,[10]
18,149.171.126.1,*,59.166.0.5,30229,*,tcp,*,[10]
19,149.171.126.1,*,59.166.0.5,40110,*,tcp,*,[10]
20,149.171.126.1,*,59.166.0.5,59938,*,tcp,*,[10]
21,149.171.126.1,*,59.166.0.9,10547,*,udp,*,[10]
22,149.171.126.11,*,175.45.176.1,60986,*,udp,*,[10]
23,149.171.126.12,*,175.45.176.1,65488,*,udp,*,[10]
24,149.171.126.15,*,175.45.176.0,5060,*,udp,*,[10]
25,149.171.126.15,*,175.45.176.3,13067,*,tcp,*,[10]
26,149.171.126.15,*,175.45.176.3,31459,*,tcp,*,[10]
27,149.171.126.15,*,175.45.176.3,58602,*,tcp,*,[10]
28,149.171.126.18,*,175.45.176.0,4569,*,udp,*,[10]
29,149.171.126.18,*,175.45.176.1,53,*,udp,*,[10]
30,149.171.126.19,*,175.45.176.1,48879,*,icmp,*,[10]
31,149.171.126.2,*,59.166.0.0,43903,*,tcp,*,[10]
32,149.171.126.2,*,59.166.0.0,51510,*,tcp,*,[10]
33,149.171.126.2,*,59.166.0.1,38017,*,tcp,*,[10]
34,149.171.126.2,*,59.166.0.2,57613,*,tcp,*,[10]
35,149.171.126.2,*,59.166.0.3,29810,*,tcp,*,[10]
36,149.171.126.2,*,59.166.0.3,33260,*,tcp,*,[10]
37,149.171.126.2,*,59.166.0.3,58324,*,tcp,*,[10]
38,149.171.126.2,*,59.166.0.4,14417,*,tcp,*,[10]
39,149.171.126.2,*,59.166.0.4,35211,*,tcp,*,[10]
40,149.171.126.2,*,59.166.0.4,35880,*,tcp,*,[10]
41,149.171.126.2,*,59.166.0.5,1047,*,tcp,*,[10]
42,149.171.126.2,*,59.166.0.5,41515,*,tcp,*,[10]
43,149.171.126.2,*,59.166.0.5,8819,*,tcp,*,[10]
44,149.171.126.2,*,59.166.0.6,29421,*,tcp,*,[10]
45,149.171.126.2,*,59.166.0.6,35002,*,tcp,*,[10]
46,149.171.126.2,*,59.166.0.7,13824,*,udp,*,[10]
47,149.171.126.2,*,59.166.0.7,20873,*,tcp,*,[10]
48,149.171.126.2,*,59.166.0.7,40104,*,udp,*,[10]
49,149.171.126.2,*,59.166.0.8,36786,*,tcp,*,[10]
50,149.171.126.2,*,59.166.0.8,57426,*,tcp,*,[10]
51,149.171.126.2,*,59.166.0.9,20203,*,tcp,*,[10]
52,149.171.126.2,*,59.166.0.9,22196,*,tcp,*,[10]
53,149.171.126.2,*,59.166.0.9,65313,*,tcp,*,[10]
54,149.171.126.3,*,59.166.0.1,1547,*,tcp,*,[10]
55,149.171.126.3,*,59.166.0.1,29658,*,tcp,*,[10]
56,149.171.126.3,*,59.166.0.1,31444,*,tcp,*,[10]
57,149.171.126.3,*,59.166.0.1,37057,*,tcp,*,[10]
58,149.171.126.3,*,59.166.0.1,40396,*,udp,*,[10]
59,149.171.126.3,*,59.166.0.2,36169,*,tcp,*,[10]
60,149.171.126.3,*,59.166.0.2,56796,*,tcp,*,[10]
61,149.171.126.3,*,59.166.0.3,40291,*,tcp,*,[10]
62,149.171.126.3,*,59.166.0.3,62463,*,tcp,*,[10]
63,149.171.126.3,*,59.166.0.3,7378,*,tcp,*,[10]
64,149.171.126.3,*,59.166.0.4,45545,*,tcp,*,[10]
65,149.171.126.4,*,59.166.0.0,13338,*,tcp,*,[10]
66,149.171.126.4,*,59.166.0.0,16892,*,tcp,*,[10]
67,149.171.126.4,*,59.166.0.0,29886,*,tcp,*,[10]
68,149.171.126.4,*,59.166.0.4,42613,*,tcp,*,[10]
69,149.171.126.4,*,59.166.0.5,18066,*,tcp,*,[10]
70,149.171.126.4,*,59.166.0.5,51310,*,tcp,*,[10]
71,149.171.126.4,*,59.166.0.6,26067,*,tcp,*,[10]
72,149.171.126.4,*,59.166.0.6,38595,*,udp,*,[10]
73,149.171.126.4,*,59.166.0.7,57155,*,tcp,*,[10]
74,149.171.126.4,*,59.166.0.8,13224,*,tcp,*,[10]
75,149.171.126.5,*,59.166.0.0,49383,*,tcp,*,[10]
76,149.171.126.5,*,59.166.0.1,5655,*,udp,*,[10]
77,149.171.126.5,*,59.166.0.2,15573,*,tcp,*,[10]
78,149.171.126.5,*,59.166.0.4,10551,*,tcp,*,[10]
79,149.171.126.5,*,59.166.0.4,11500,*,tcp,*,[10]
80,149.171.126.5,*,59.166.0.4,37496,*,tcp,*,[10]
81,149.171.126.5,*,59.166.0.5,40028,*,udp,*,[10]
82,149.171.126.5,*,59.166.0.5,40364,*,tcp,*,[10]
83,149.171.126.6,*,59.166.0.0,16184,*,tcp,*,[10]
84,149.171.126.6,*,59.166.0.1,12620,*,tcp,*,[10]
85,149.171.126.6,*,59.166.0.1,40087,*,tcp,*,[10]
86,149.171.126.6,*,59.166.0.2,15156,*,tcp,*,[10]
87,149.171.126.6,*,59.166.0.2,41558,*,tcp,*,[10]
88,149.171.126.6,*,59.166.0.4,45606,*,udp,*,[10]
89,149.171.126.6,*,59.166.0.4,59484,*,udp,*,[10]
90,149.171.126.6,*,59.166.0.5,8491,*,tcp,*,[10]
91,149.171.126.6,*,59.166.0.6,63859,*,tcp,*,[10]
92,149.171.126.6,*,59.166.0.7,10927,*,tcp,*,[10]
93,149.171.126.6,*,59.166.0.8,42256,*,udp,*,[10]
94,149.171.126.6,*,59.166.0.9,31588,*,tcp,*,[10]
95,149.171.126.6,*,59.166.0.9,56503,*,tcp,*,[10]
