cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,10.40.170.2,0,unknown,arp,INT,[3.477838527698241]
1,10.40.182.1,*,10.40.182.3,0,unknown,arp,CON,[2.292651303622075]
2,10.40.182.1,*,224.0.0.5,0,unknown,ospf,INT,[3.4641016151377544]
3,10.40.182.1,*,224.0.0.5,0,unknown,ospf,REQ,[3.203121287835202]
4,10.40.182.3,*,10.40.182.3,0,unknown,arp,INT,[3.477838527698241]
5,10.40.85.1,*,10.40.85.30,0,unknown,arp,CON,[2.7937414508601557]
6,10.40.85.1,*,175.45.176.2,0,unknown,icmp,PAR,[10]
7,10.40.85.1,*,224.0.0.5,0,unknown,ospf,INT,[3.4641016151377544]
8,10.40.85.1,*,224.0.0.5,0,unknown,ospf,REQ,[3.203121287835202]
9,10.40.85.30,*,10.40.85.1,0,unknown,arp,CON,[2.901256033955994]
10,149.171.126.0,*,59.166.0.1,36410,unknown,tcp,FIN,[10]
11,149.171.126.0,*,59.166.0.3,35783,unknown,tcp,CON,[10]
12,149.171.126.0,*,59.166.0.6,51720,unknown,tcp,FIN,[10]
13,149.171.126.0,*,59.166.0.8,44192,unknown,tcp,FIN,[10]
14,149.171.126.1,*,59.166.0.0,15271,unknown,tcp,CON,[10]
15,149.171.126.1,*,59.166.0.1,56708,unknown,tcp,FIN,[10]
16,149.171.126.1,*,59.166.0.2,47920,unknown,tcp,CON,[10]
17,149.171.126.1,*,59.166.0.2,9263,unknown,tcp,FIN,[10]
18,149.171.126.1,*,59.166.0.3,12809,unknown,tcp,FIN,[10]
19,149.171.126.1,*,59.166.0.4,36725,unknown,tcp,FIN,[10]
20,149.171.126.1,*,59.166.0.5,30229,unknown,tcp,FIN,[10]
21,149.171.126.1,*,59.166.0.5,40110,unknown,tcp,CON,[10]
22,149.171.126.1,*,59.166.0.5,59938,unknown,tcp,FIN,[10]
23,149.171.126.1,*,59.166.0.9,10547,unknown,udp,INT,[10]
24,149.171.126.11,*,175.45.176.1,60986,unknown,udp,INT,[10]
25,149.171.126.12,*,175.45.176.1,65488,unknown,udp,INT,[10]
26,149.171.126.15,*,175.45.176.0,5060,unknown,udp,CON,[10]
27,149.171.126.15,*,175.45.176.3,13067,unknown,tcp,FIN,[10]
