cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,0,*,*,*,arp,*,[3.477838527698241]
1,10.40.182.1,0,*,*,*,arp,*,[2.292651303622075]
2,10.40.182.1,0,*,*,*,ospf,*,[3.4763439588541063]
3,10.40.182.3,0,*,*,*,arp,*,[3.5095970693922776]
4,10.40.85.1,0,*,*,*,arp,*,[2.7937414508601557]
5,10.40.85.1,0,*,*,*,ospf,*,[3.4763439588541063]
6,10.40.85.1,12,*,*,*,icmp,*,[10]
7,10.40.85.30,0,*,*,*,arp,*,[2.901256033955994]
8,149.171.126.0,5190,*,*,*,tcp,*,[10]
9,149.171.126.0,80,*,*,*,tcp,*,[10]
10,149.171.126.1,10458,*,*,*,tcp,*,[10]
11,149.171.126.1,111,*,*,*,udp,*,[10]
12,149.171.126.1,34512,*,*,*,tcp,*,[10]
13,149.171.126.1,5190,*,*,*,tcp,*,[10]
14,149.171.126.1,53954,*,*,*,tcp,*,[10]
15,149.171.126.1,54098,*,*,*,tcp,*,[10]
16,149.171.126.1,57857,*,*,*,tcp,*,[10]
17,149.171.126.1,80,*,*,*,tcp,*,[10]
18,149.171.126.1,8028,*,*,*,tcp,*,[10]
19,149.171.126.11,53,*,*,*,udp,*,[10]
20,149.171.126.12,53,*,*,*,udp,*,[10]
21,149.171.126.15,13005,*,*,*,tcp,*,[10]
22,149.171.126.15,14169,*,*,*,tcp,*,[10]
23,149.171.126.15,5060,*,*,*,udp,*,[10]
24,149.171.126.15,9882,*,*,*,tcp,*,[10]
25,149.171.126.18,1043,*,*,*,udp,*,[10]
26,149.171.126.18,47439,*,*,*,udp,*,[10]
27,149.171.126.18,5060,*,*,*,udp,*,[10]
28,149.171.126.19,0,*,*,*,icmp,*,[10]
29,149.171.126.2,111,*,*,*,udp,*,[10]
30,149.171.126.2,11838,*,*,*,tcp,*,[10]
31,149.171.126.2,12816,*,*,*,tcp,*,[10]
32,149.171.126.2,14155,*,*,*,tcp,*,[10]
33,149.171.126.2,143,*,*,*,tcp,*,[10]
34,149.171.126.2,16241,*,*,*,tcp,*,[10]
35,149.171.126.2,21,*,*,*,tcp,*,[10]
36,149.171.126.2,22,*,*,*,tcp,*,[10]
37,149.171.126.2,30671,*,*,*,tcp,*,[10]
38,149.171.126.2,3703,*,*,*,tcp,*,[10]
39,149.171.126.2,3929,*,*,*,tcp,*,[10]
40,149.171.126.2,5190,*,*,*,tcp,*,[10]
