cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,0,*,*,unknown,*,INT,[3.477838527698241]
1,10.40.182.1,0,*,*,unknown,*,CON,[2.292651303622075]
2,10.40.182.1,0,*,*,unknown,*,INT,[3.4641016151377544]
3,10.40.182.1,0,*,*,unknown,*,REQ,[3.203121287835202]
4,10.40.182.3,0,*,*,unknown,*,INT,[3.5095970693922776]
5,10.40.85.1,0,*,*,unknown,*,CON,[2.7937414508601557]
6,10.40.85.1,0,*,*,unknown,*,INT,[3.4641016151377544]
7,10.40.85.1,0,*,*,unknown,*,REQ,[3.203121287835202]
8,10.40.85.1,12,*,*,unknown,*,PAR,[10]
9,10.40.85.30,0,*,*,unknown,*,CON,[2.901256033955994]
10,149.171.126.0,5190,*,*,unknown,*,CON,[10]
11,149.171.126.0,5190,*,*,unknown,*,FIN,[10]
12,149.171.126.0,80,*,*,unknown,*,FIN,[10]
13,149.171.126.1,10458,*,*,unknown,*,CON,[10]
14,149.171.126.1,111,*,*,unknown,*,INT,[10]
15,149.171.126.1,34512,*,*,unknown,*,FIN,[10]
16,149.171.126.1,5190,*,*,unknown,*,FIN,[10]
17,149.171.126.1,53954,*,*,unknown,*,FIN,[10]
18,149.171.126.1,54098,*,*,unknown,*,CON,[10]
19,149.171.126.1,57857,*,*,unknown,*,FIN,[10]
20,149.171.126.1,80,*,*,unknown,*,CON,[10]
21,149.171.126.1,80,*,*,unknown,*,FIN,[10]
22,149.171.126.1,8028,*,*,unknown,*,FIN,[10]
23,149.171.126.11,53,*,*,unknown,*,INT,[10]
24,149.171.126.12,53,*,*,unknown,*,INT,[10]
25,149.171.126.15,13005,*,*,unknown,*,FIN,[10]
26,149.171.126.15,14169,*,*,unknown,*,FIN,[10]
27,149.171.126.15,5060,*,*,unknown,*,CON,[10]
28,149.171.126.15,9882,*,*,unknown,*,FIN,[10]
29,149.171.126.18,1043,*,*,dns,*,INT,[10]
30,149.171.126.18,47439,*,*,dns,*,INT,[10]
31,149.171.126.18,5060,*,*,unknown,*,REQ,[10]
32,149.171.126.19,0,*,*,unknown,*,ECR,[10]
33,149.171.126.2,111,*,*,unknown,*,CON,[10]
34,149.171.126.2,11838,*,*,unknown,*,FIN,[10]
35,149.171.126.2,12816,*,*,unknown,*,FIN,[10]
36,149.171.126.2,14155,*,*,unknown,*,CON,[10]
37,149.171.126.2,143,*,*,unknown,*,FIN,[10]
38,149.171.126.2,16241,*,*,unknown,*,CON,[10]
39,149.171.126.2,21,*,*,unknown,*,FIN,[10]
