cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,0,*,0,unknown,arp,INT,[3.477838527698241]
1,10.40.182.1,0,*,0,unknown,arp,CON,[2.292651303622075]
2,10.40.182.1,0,*,0,unknown,ospf,INT,[3.4641016151377544]
3,10.40.182.1,0,*,0,unknown,ospf,REQ,[3.203121287835202]
4,10.40.182.3,0,*,0,unknown,arp,INT,[3.5095970693922776]
5,10.40.85.1,0,*,0,unknown,arp,CON,[2.7937414508601557]
6,10.40.85.1,0,*,0,unknown,ospf,INT,[3.4641016151377544]
7,10.40.85.1,0,*,0,unknown,ospf,REQ,[3.203121287835202]
8,10.40.85.1,12,*,0,unknown,icmp,PAR,[10]
9,10.40.85.30,0,*,0,unknown,arp,CON,[2.901256033955994]
10,149.171.126.0,5190,*,35783,unknown,tcp,CON,[10]
11,149.171.126.0,5190,*,51720,unknown,tcp,FIN,[10]
12,149.171.126.0,80,*,36410,unknown,tcp,FIN,[10]
13,149.171.126.0,80,*,44192,unknown,tcp,FIN,[10]
14,149.171.126.1,10458,*,40110,unknown,tcp,CON,[10]
15,149.171.126.1,111,*,10547,unknown,udp,INT,[10]
16,149.171.126.1,34512,*,36725,unknown,tcp,FIN,[10]
17,149.171.126.1,5190,*,56708,unknown,tcp,FIN,[10]
18,149.171.126.1,53954,*,12809,unknown,tcp,FIN,[10]
19,149.171.126.1,54098,*,47920,unknown,tcp,CON,[10]
20,149.171.126.1,57857,*,30229,unknown,tcp,FIN,[10]
21,149.171.126.1,80,*,15271,unknown,tcp,CON,[10]
22,149.171.126.1,80,*,59938,unknown,tcp,FIN,[10]
23,149.171.126.1,8028,*,9263,unknown,tcp,FIN,[10]
24,149.171.126.11,53,*,60986,unknown,udp,INT,[10]
25,149.171.126.12,53,*,65488,unknown,udp,INT,[10]
26,149.171.126.15,13005,*,31459,unknown,tcp,FIN,[10]
27,149.171.126.15,14169,*,58602,unknown,tcp,FIN,[10]
28,149.171.126.15,5060,*,5060,unknown,udp,CON,[10]
29,149.171.126.15,9882,*,13067,unknown,tcp,FIN,[10]
30,149.171.126.18,1043,*,53,dns,udp,INT,[10]
31,149.171.126.18,47439,*,53,dns,udp,INT,[10]
