cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,0,10.40.170.2,0,unknown,arp,INT,[3.477838527698241]
1,10.40.182.1,0,10.40.182.3,0,unknown,arp,CON,[2.292651303622075]
2,10.40.182.1,0,224.0.0.5,0,unknown,ospf,INT,[3.4641016151377544]
3,10.40.182.1,0,224.0.0.5,0,unknown,ospf,REQ,[3.203121287835202]
4,10.40.182.3,0,10.40.182.3,0,unknown,arp,INT,[3.477838527698241]
5,10.40.85.1,0,10.40.85.30,0,unknown,arp,CON,[2.7937414508601557]
6,10.40.85.1,0,224.0.0.5,0,unknown,ospf,INT,[3.4641016151377544]
7,10.40.85.1,0,224.0.0.5,0,unknown,ospf,REQ,[3.203121287835202]
8,10.40.85.1,12,175.45.176.2,0,unknown,icmp,PAR,[10]
9,10.40.85.30,0,10.40.85.1,0,unknown,arp,CON,[2.901256033955994]
10,149.171.126.0,5190,59.166.0.3,35783,unknown,tcp,CON,[10]
11,149.171.126.0,5190,59.166.0.6,51720,unknown,tcp,FIN,[10]
12,149.171.126.0,80,59.166.0.1,36410,unknown,tcp,FIN,[10]
13,149.171.126.0,80,59.166.0.8,44192,unknown,tcp,FIN,[10]
14,149.171.126.1,10458,59.166.0.5,40110,unknown,tcp,CON,[10]
15,149.171.126.1,111,59.166.0.9,10547,unknown,udp,INT,[10]
16,149.171.126.1,34512,59.166.0.4,36725,unknown,tcp,FIN,[10]
17,149.171.126.1,5190,59.166.0.1,56708,unknown,tcp,FIN,[10]
18,149.171.126.1,53954,59.166.0.3,12809,unknown,tcp,FIN,[10]
19,149.171.126.1,54098,59.166.0.2,47920,unknown,tcp,CON,[10]
20,149.171.126.1,57857,59.166.0.5,30229,unknown,tcp,FIN,[10]
21,149.171.126.1,80,59.166.0.0,15271,unknown,tcp,CON,[10]
22,149.171.126.1,80,59.166.0.5,59938,unknown,tcp,FIN,[10]
23,149.171.126.1,8028,59.166.0.2,9263,unknown,tcp,FIN,[10]
24,149.171.126.11,53,175.45.176.1,60986,unknown,udp,INT,[10]
25,149.171.126.12,53,175.45.176.1,65488,unknown,udp,INT,[10]
26,149.171.126.15,13005,175.45.176.3,31459,unknown,tcp,FIN,[10]
27,149.171.126.15,14169,175.45.176.3,58602,unknown,tcp,FIN,[10]
28,149.171.126.15,5060,175.45.176.0,5060,unknown,udp,CON,[10]
29,149.171.126.15,9882,175.45.176.3,13067,unknown,tcp,FIN,[10]
30,149.171.126.18,1043,175.45.176.1,53,dns,udp,INT,[10]
31,149.171.126.18,47439,175.45.176.1,53,dns,udp,INT,[10]
32,149.171.126.18,5060,175.45.176.0,4569,unknown,udp,REQ,[10]
33,149.171.126.19,0,175.45.176.1,48879,unknown,icmp,ECR,[10]
34,149.171.126.2,111,59.166.0.7,40104,unknown,udp,CON,[10]
35,149.171.126.2,11838,59.166.0.4,35211,unknown,tcp,FIN,[10]
36,149.171.126.2,12816,59.166.0.0,51510,unknown,tcp,FIN,[10]
37,149.171.126.2,14155,59.166.0.8,36786,unknown,tcp,CON,[10]
38,149.171.126.2,143,59.166.0.6,29421,unknown,tcp,FIN,[10]
39,149.171.126.2,16241,59.166.0.9,22196,unknown,tcp,CON,[10]
40,149.171.126.2,21,59.166.0.5,1047,unknown,tcp,FIN,[10]
41,149.171.126.2,21,59.166.0.9,20203,unknown,tcp,FIN,[10]
42,149.171.126.2,22,59.166.0.2,57613,unknown,tcp,FIN,[10]
43,149.171.126.2,22,59.166.0.8,57426,unknown,tcp,CON,[10]
44,149.171.126.2,30671,59.166.0.6,35002,unknown,tcp,FIN,[10]
45,149.171.126.2,3703,59.166.0.3,33260,unknown,tcp,FIN,[10]
46,149.171.126.2,3929,59.166.0.0,43903,unknown,tcp,CON,[10]
47,149.171.126.2,5190,59.166.0.5,8819,unknown,tcp,CON,[10]
48,149.171.126.2,54279,59.166.0.3,58324,unknown,tcp,CON,[10]
49,149.171.126.2,56909,59.166.0.9,65313,unknown,tcp,FIN,[10]
50,149.171.126.2,6208,59.166.0.4,35880,unknown,tcp,FIN,[10]
51,149.171.126.2,6331,59.166.0.7,13824,unknown,udp,INT,[10]
52,149.171.126.2,6881,59.166.0.1,38017,unknown,tcp,FIN,[10]
53,149.171.126.2,6881,59.166.0.7,20873,unknown,tcp,FIN,[10]
54,149.171.126.2,80,59.166.0.3,29810,unknown,tcp,FIN,[10]
55,149.171.126.2,80,59.166.0.4,14417,unknown,tcp,FIN,[10]
56,149.171.126.2,9666,59.166.0.5,41515,unknown,tcp,FIN,[10]
57,149.171.126.3,111,59.166.0.1,40396,unknown,udp,INT,[10]
58,149.171.126.3,14152,59.166.0.1,37057,unknown,tcp,FIN,[10]
59,149.171.126.3,20144,59.166.0.1,31444,unknown,tcp,FIN,[10]
60,149.171.126.3,21,59.166.0.1,29658,unknown,tcp,FIN,[10]
61,149.171.126.3,21,59.166.0.4,45545,unknown,tcp,FIN,[10]
62,149.171.126.3,22771,59.166.0.3,62463,unknown,tcp,CON,[10]
63,149.171.126.3,30671,59.166.0.3,40291,unknown,tcp,FIN,[10]
64,149.171.126.3,34211,59.166.0.2,36169,unknown,tcp,FIN,[10]
65,149.171.126.3,5190,59.166.0.1,1547,unknown,tcp,CON,[10]
66,149.171.126.3,57629,59.166.0.2,56796,unknown,tcp,FIN,[10]
67,149.171.126.3,6881,59.166.0.3,7378,unknown,tcp,FIN,[10]
68,149.171.126.4,143,59.166.0.0,29886,unknown,tcp,FIN,[10]
69,149.171.126.4,5169,59.166.0.6,38595,unknown,udp,INT,[10]
70,149.171.126.4,5190,59.166.0.6,26067,unknown,tcp,FIN,[10]
71,149.171.126.4,6881,59.166.0.0,13338,unknown,tcp,FIN,[10]
72,149.171.126.4,80,59.166.0.0,16892,unknown,tcp,FIN,[10]
73,149.171.126.4,80,59.166.0.4,42613,unknown,tcp,FIN,[10]
74,149.171.126.4,80,59.166.0.5,18066,unknown,tcp,FIN,[10]
75,149.171.126.4,80,59.166.0.5,51310,unknown,tcp,FIN,[10]
76,149.171.126.4,80,59.166.0.7,57155,unknown,tcp,FIN,[10]
77,149.171.126.4,80,59.166.0.8,13224,unknown,tcp,FIN,[10]
78,149.171.126.5,143,59.166.0.5,40364,unknown,tcp,FIN,[10]
79,149.171.126.5,21,59.166.0.0,49383,unknown,tcp,FIN,[10]
80,149.171.126.5,21,59.166.0.4,10551,unknown,tcp,FIN,[10]
81,149.171.126.5,35339,59.166.0.4,37496,unknown,tcp,FIN,[10]
82,149.171.126.5,51890,59.166.0.2,15573,unknown,tcp,CON,[10]
83,149.171.126.5,53,59.166.0.1,5655,unknown,udp,INT,[10]
84,149.171.126.5,53,59.166.0.5,40028,unknown,udp,INT,[10]
85,149.171.126.5,63972,59.166.0.4,11500,unknown,tcp,FIN,[10]
86,149.171.126.6,1290,59.166.0.4,45606,unknown,udp,INT,[10]
87,149.171.126.6,15933,59.166.0.6,63859,unknown,tcp,CON,[10]
88,149.171.126.6,22,59.166.0.0,16184,unknown,tcp,CON,[10]
89,149.171.126.6,29712,59.166.0.9,31588,unknown,tcp,CON,[10]
90,149.171.126.6,29934,59.166.0.9,56503,unknown,tcp,FIN,[10]
91,149.171.126.6,34042,59.166.0.2,15156,unknown,tcp,FIN,[10]
92,149.171.126.6,38128,59.166.0.1,40087,unknown,tcp,FIN,[10]
93,149.171.126.6,41134,59.166.0.1,12620,unknown,tcp,FIN,[10]
94,149.171.126.6,43921,59.166.0.5,8491,unknown,tcp,CON,[10]
95,149.171.126.6,5190,59.166.0.7,10927,unknown,tcp,CON,[10]
96,149.171.126.6,53,59.166.0.4,59484,unknown,udp,INT,[10]
97,149.171.126.6,53,59.166.0.8,42256,unknown,udp,INT,[10]
98,149.171.126.6,80,59.166.0.2,41558,unknown,tcp,FIN,[10]
99,149.171.126.7,10956,59.166.0.7,60578,unknown,tcp,FIN,[10]
100,149.171.126.7,111,59.166.0.5,17633,unknown,udp,CON,[10]
101,149.171.126.7,111,59.166.0.7,7548,unknown,udp,CON,[10]
102,149.171.126.7,12816,59.166.0.9,30543,unknown,tcp,FIN,[10]
103,149.171.126.7,14095,59.166.0.4,15439,unknown,tcp,CON,[10]
104,149.171.126.7,15370,59.166.0.7,62791,unknown,tcp,CON,[10]
105,149.171.126.7,21,59.166.0.2,51621,unknown,tcp,FIN,[10]
106,149.171.126.7,24276,59.166.0.8,5667,unknown,tcp,FIN,[10]
107,149.171.126.7,2660,59.166.0.1,48658,unknown,tcp,CON,[10]
108,149.171.126.7,29494,59.166.0.6,31508,unknown,tcp,CON,[10]
109,149.171.126.7,32645,59.166.0.1,1831,unknown,tcp,CON,[10]
110,149.171.126.7,35047,59.166.0.9,15921,unknown,tcp,FIN,[10]
111,149.171.126.7,39340,59.166.0.9,31391,unknown,tcp,FIN,[10]
112,149.171.126.7,50838,59.166.0.5,58104,unknown,tcp,FIN,[10]
113,149.171.126.7,58060,59.166.0.9,31562,unknown,tcp,CON,[10]
114,149.171.126.7,60626,59.166.0.6,57233,unknown,tcp,FIN,[10]
115,149.171.126.7,62591,59.166.0.4,17843,unknown,tcp,FIN,[10]
116,149.171.126.8,143,59.166.0.9,52029,unknown,tcp,FIN,[10]
117,149.171.126.8,20070,59.166.0.3,59228,unknown,udp,INT,[10]
118,149.171.126.8,3104,59.166.0.1,43121,unknown,tcp,CON,[10]
119,149.171.126.8,50960,59.166.0.4,54216,unknown,tcp,FIN,[10]
120,149.171.126.8,5190,59.166.0.8,1708,unknown,tcp,CON,[10]
121,149.171.126.8,53,59.166.0.4,38841,unknown,udp,INT,[10]
122,149.171.126.8,6881,59.166.0.6,40999,unknown,tcp,FIN,[10]
123,149.171.126.9,143,59.166.0.5,22604,unknown,tcp,CON,[10]
124,149.171.126.9,143,59.166.0.6,30585,unknown,tcp,FIN,[10]
125,149.171.126.9,18121,59.166.0.8,20119,unknown,tcp,FIN,[10]
126,149.171.126.9,21,59.166.0.2,46281,unknown,tcp,FIN,[10]
127,149.171.126.9,22,59.166.0.4,47518,unknown,tcp,CON,[10]
128,149.171.126.9,25,59.166.0.1,37017,unknown,tcp,CON,[10]
129,149.171.126.9,25,59.166.0.1,56540,unknown,tcp,CON,[10]
130,149.171.126.9,53,59.166.0.3,61360,unknown,udp,INT,[10]
131,149.171.126.9,53,59.166.0.7,38851,unknown,udp,INT,[10]
132,149.171.126.9,56909,59.166.0.6,53937,unknown,tcp,FIN,[10]
133,149.171.126.9,6881,59.166.0.0,14411,unknown,tcp,FIN,[10]
134,149.171.126.9,80,59.166.0.4,23190,unknown,tcp,FIN,[10]
135,149.171.126.9,80,59.166.0.6,17717,unknown,tcp,FIN,[10]
136,175.45.176.0,0,149.171.126.14,0,unknown,sctp,CON,[10]
137,175.45.176.0,10150,149.171.126.10,179,unknown,tcp,FIN,[10]
138,175.45.176.0,10280,149.171.126.10,179,unknown,tcp,CON,[10]
139,175.45.176.0,10295,149.171.126.14,514,unknown,udp,INT,[10]
140,175.45.176.0,10330,149.171.126.17,25,smtp,tcp,FIN,[10]
141,175.45.176.0,1034,149.171.126.11,520,unknown,udp,INT,[10]
142,175.45.176.0,10364,149.171.126.15,80,http,tcp,FIN,[10]
143,175.45.176.0,10457,149.171.126.11,520,unknown,udp,INT,[10]
144,175.45.176.0,10726,149.171.126.11,143,unknown,tcp,FIN,[10]
145,175.45.176.0,10896,149.171.126.15,111,unknown,udp,INT,[10]
146,175.45.176.0,10906,149.171.126.10,179,unknown,tcp,FIN,[10]
