cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,*,arp,CON,"[57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76, 118]"
1,*,*,*,*,*,arp,INT,"[38, 41, 41, 40, 39, 39, 38, 29, 41, 38, 41, 54, 76]"
2,*,*,*,*,*,icmp,ECO,"[10, 10, 8, 7, 8, 9, 10, 7, 8, 7, 9, 13, 20]"
3,*,*,*,*,*,icmp,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
4,*,*,*,*,*,icmp,PAR,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5,*,*,*,*,*,icmp,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,*,*,*,*,*,igmp,INT,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
7,*,*,*,*,*,ospf,INT,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4, 0]"
8,*,*,*,*,*,ospf,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
9,*,*,*,*,*,tcp,CON,"[31, 0, 29, 17, 5, 451, 19, 0, 210, 0, 14, 573, 0]"
10,*,*,*,*,*,tcp,FIN,"[19185, 17950, 19358, 20437, 20212, 19137, 22527, 17340, 20054, 18511, 19657, 18837, 20891]"
11,*,*,*,*,*,tcp,REQ,"[349, 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 0, 611]"
12,*,*,*,*,*,tcp,RST,"[0, 62, 10, 0, 0, 0, 0, 66, 10, 0, 2, 0, 0]"
13,*,*,*,*,*,udp,CON,"[8257, 7517, 7651, 7488, 7785, 7306, 7283, 6049, 7854, 7185, 7600, 7298, 7902]"
14,*,*,*,*,*,udp,INT,"[9000, 8429, 633, 295, 9685, 15973, 9955, 6222, 634, 300, 9845, 12744, 7720]"
15,*,*,*,*,*,udp,REQ,"[0, 0, 5, 0, 52, 44, 2, 0, 0, 0, 26, 14, 0]"
