cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,dns,*,CON,"[5650, 5156, 5335, 5238, 5353, 4973, 5139, 4319, 5441, 4913, 5281, 4968, 5608]"
1,*,*,*,*,dns,*,INT,"[8820, 8257, 24, 3, 9451, 15771, 9768, 6048, 24, 3, 9618, 12545, 7548]"
2,*,*,*,*,ftp,*,FIN,"[676, 579, 752, 650, 720, 569, 518, 475, 727, 631, 692, 588, 608]"
3,*,*,*,*,ftp,*,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
4,*,*,*,*,http,*,CON,"[8, 0, 5, 7, 2, 0, 6, 0, 5, 0, 0, 3, 0]"
5,*,*,*,*,http,*,FIN,"[3426, 2755, 2693, 2806, 2768, 2641, 3397, 2505, 2871, 2424, 2745, 2565, 3572]"
6,*,*,*,*,http,*,RST,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,*,*,*,*,smtp,*,FIN,"[1258, 1145, 1185, 1087, 1167, 1097, 1049, 807, 1159, 1100, 1164, 1109, 1178]"
8,*,*,*,*,ssh,*,FIN,"[414, 605, 695, 1162, 872, 778, 313, 187, 441, 644, 713, 858, 829]"
9,*,*,*,*,ssh,*,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
10,*,*,*,*,ssh,*,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
11,*,*,*,*,unknown,*,CON,"[2687, 2419, 2400, 2317, 2491, 2844, 2215, 1775, 2678, 2331, 2385, 2976, 2413]"
12,*,*,*,*,unknown,*,ECO,"[10, 10, 8, 7, 8, 9, 10, 7, 8, 7, 9, 13, 20]"
13,*,*,*,*,unknown,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
14,*,*,*,*,unknown,*,FIN,"[13411, 12866, 14033, 14732, 14685, 14052, 17250, 13366, 14856, 13712, 14343, 13717, 14704]"
15,*,*,*,*,unknown,*,INT,"[223, 213, 654, 336, 276, 241, 230, 204, 654, 337, 271, 257, 254]"
16,*,*,*,*,unknown,*,REQ,"[389, 40, 46, 38, 93, 84, 418, 30, 38, 40, 65, 66, 691]"
17,*,*,*,*,unknown,*,RST,"[0, 60, 0, 0, 0, 0, 0, 65, 0, 0, 2, 0, 0]"
18,*,*,*,*,unknown,*,PAR,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
19,*,*,*,*,unknown,*,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
20,*,*,*,*,radius,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
