cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,dns,udp,CON,"[5650, 5156, 5335, 5238, 5353, 4973, 5139, 4319, 5441, 4913, 5281, 4968, 5608]"
1,*,*,*,*,dns,udp,INT,"[8820, 8257, 24, 3, 9451, 15771, 9768, 6048, 24, 3, 9618, 12545, 7548]"
2,*,*,*,*,ftp,tcp,FIN,"[676, 579, 752, 650, 720, 569, 518, 475, 727, 631, 692, 588, 608]"
3,*,*,*,*,ftp,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
4,*,*,*,*,http,tcp,CON,"[8, 0, 5, 7, 2, 0, 6, 0, 5, 0, 0, 3, 0]"
5,*,*,*,*,http,tcp,FIN,"[3426, 2755, 2693, 2806, 2768, 2641, 3397, 2505, 2871, 2424, 2745, 2565, 3572]"
6,*,*,*,*,http,tcp,RST,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,*,*,*,*,smtp,tcp,FIN,"[1258, 1145, 1185, 1087, 1167, 1097, 1049, 807, 1159, 1100, 1164, 1109, 1178]"
8,*,*,*,*,ssh,tcp,FIN,"[414, 605, 695, 1162, 872, 778, 313, 187, 441, 644, 713, 858, 829]"
9,*,*,*,*,ssh,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
10,*,*,*,*,ssh,tcp,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
11,*,*,*,*,unknown,arp,CON,"[57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76, 118]"
12,*,*,*,*,unknown,arp,INT,"[38, 41, 41, 40, 39, 39, 38, 29, 41, 38, 41, 54, 76]"
13,*,*,*,*,unknown,icmp,ECO,"[10, 10, 8, 7, 8, 9, 10, 7, 8, 7, 9, 13, 20]"
14,*,*,*,*,unknown,icmp,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
15,*,*,*,*,unknown,icmp,PAR,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
16,*,*,*,*,unknown,icmp,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
17,*,*,*,*,unknown,igmp,INT,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
18,*,*,*,*,unknown,ospf,INT,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4, 0]"
19,*,*,*,*,unknown,ospf,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
20,*,*,*,*,unknown,tcp,CON,"[23, 0, 23, 9, 3, 451, 13, 0, 203, 0, 8, 570, 0]"
21,*,*,*,*,unknown,tcp,FIN,"[13411, 12866, 14033, 14732, 14685, 14052, 17250, 13366, 14856, 13712, 14343, 13717, 14704]"
22,*,*,*,*,unknown,tcp,REQ,"[349, 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 0, 611]"
23,*,*,*,*,unknown,tcp,RST,"[0, 60, 0, 0, 0, 0, 0, 65, 0, 0, 2, 0, 0]"
24,*,*,*,*,unknown,udp,CON,"[2607, 2361, 2316, 2250, 2432, 2333, 2144, 1730, 2413, 2272, 2319, 2330, 2294]"
25,*,*,*,*,unknown,udp,INT,"[180, 172, 608, 292, 234, 202, 187, 173, 608, 297, 227, 199, 172]"
26,*,*,*,*,unknown,udp,REQ,"[0, 0, 5, 0, 52, 44, 2, 0, 0, 0, 26, 14, 0]"
27,*,*,*,*,radius,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
