cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,dns,udp,*,"[14470, 13413, 5359, 5241, 14804, 20744, 14907, 10367, 5465, 4916, 14899, 17513, 13156]"
1,*,*,*,*,ftp,tcp,*,"[676, 579, 752, 650, 720, 569, 518, 475, 727, 631, 696, 588, 608]"
2,*,*,*,*,http,tcp,*,"[3434, 2757, 2698, 2813, 2770, 2641, 3403, 2507, 2876, 2424, 2746, 2568, 3572]"
3,*,*,*,*,smtp,tcp,*,"[1258, 1145, 1185, 1087, 1167, 1097, 1049, 807, 1159, 1100, 1164, 1109, 1178]"
4,*,*,*,*,ssh,tcp,*,"[414, 605, 706, 1163, 872, 778, 313, 187, 453, 644, 714, 858, 829]"
5,*,*,*,*,unknown,arp,*,"[95, 99, 102, 98, 95, 99, 96, 74, 103, 96, 99, 130, 194]"
6,*,*,*,*,unknown,icmp,*,"[11, 10, 9, 10, 11, 11, 11, 7, 9, 10, 10, 16, 22]"
7,*,*,*,*,unknown,igmp,*,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
8,*,*,*,*,unknown,ospf,*,"[42, 40, 42, 40, 42, 40, 42, 32, 40, 40, 40, 56, 80]"
9,*,*,*,*,unknown,tcp,*,"[13783, 12926, 14057, 14742, 14689, 14505, 17639, 13431, 15059, 13714, 14355, 14288, 15316]"
10,*,*,*,*,unknown,udp,*,"[2787, 2533, 2929, 2542, 2718, 2579, 2333, 1903, 3021, 2569, 2572, 2543, 2466]"
11,*,*,*,*,radius,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
