cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,0,*,*,CON,"[57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76, 118]"
1,*,*,*,0,*,*,INT,"[43, 41, 46, 43, 42, 39, 43, 31, 46, 39, 44, 58, 82]"
2,*,*,*,0,*,*,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
3,*,*,*,0,*,*,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
4,*,*,*,10030,*,*,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
5,*,*,*,10098,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,*,*,*,10103,*,*,FIN,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,*,*,*,10104,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
8,*,*,*,10130,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,*,*,10198,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0]"
10,*,*,*,10221,*,*,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
11,*,*,*,10352,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
12,*,*,*,10422,*,*,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,*,*,*,10492,*,*,REQ,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,*,*,*,1051,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
15,*,*,*,10531,*,*,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,*,*,*,1058,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
17,*,*,*,10581,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,*,*,*,10583,*,*,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
19,*,*,*,1062,*,*,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,*,*,*,1074,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
21,*,*,*,10797,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,*,*,*,1083,*,*,FIN,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
23,*,*,*,10853,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
24,*,*,*,10856,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,*,*,*,10860,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,*,*,*,10898,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,*,*,*,10901,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]"
28,*,*,*,10925,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,*,*,*,10955,*,*,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
30,*,*,*,10959,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
31,*,*,*,10976,*,*,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
