cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,0,unknown,arp,CON,"[57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76, 118]"
1,*,*,*,0,unknown,arp,INT,"[38, 41, 41, 40, 39, 39, 38, 29, 41, 38, 41, 54, 76]"
2,*,*,*,0,unknown,igmp,INT,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
3,*,*,*,0,unknown,ospf,INT,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4, 0]"
4,*,*,*,0,unknown,ospf,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
5,*,*,*,0,unknown,icmp,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,*,*,*,10030,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
7,*,*,*,10098,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,*,*,*,10103,unknown,tcp,FIN,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,*,*,10104,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
10,*,*,*,10130,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,*,*,*,10198,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0]"
12,*,*,*,10221,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
13,*,*,*,10352,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
14,*,*,*,10422,unknown,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,*,*,*,10492,unknown,tcp,REQ,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,*,*,*,1051,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
17,*,*,*,10531,unknown,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,*,*,*,1058,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
19,*,*,*,10581,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,*,*,*,10583,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
21,*,*,*,1062,unknown,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,*,*,*,1074,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
23,*,*,*,10797,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,*,*,*,1083,unknown,tcp,FIN,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
25,*,*,*,10853,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
26,*,*,*,10856,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,*,*,*,10860,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,*,*,*,10898,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,*,*,*,10901,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]"
30,*,*,*,10925,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,*,*,*,10955,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
32,*,*,*,10959,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
33,*,*,*,10976,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
34,*,*,*,1099,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
35,*,*,*,1100,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
36,*,*,*,11039,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
37,*,*,*,1104,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
38,*,*,*,111,unknown,udp,CON,"[1310, 1184, 1163, 1128, 1219, 1170, 1076, 870, 1209, 1138, 1163, 1170, 1155]"
39,*,*,*,11126,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
40,*,*,*,11134,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
41,*,*,*,11184,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,*,*,*,1123,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
43,*,*,*,11235,unknown,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,*,*,*,1132,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
45,*,*,*,11353,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,*,*,*,11399,unknown,tcp,FIN,"[109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,*,*,*,1152,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
48,*,*,*,1154,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,*,*,*,11642,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,*,*,*,1187,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
51,*,*,*,11889,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,*,*,*,11935,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,*,*,*,1198,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
54,*,*,*,12147,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
55,*,*,*,12211,unknown,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
56,*,*,*,12262,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0]"
57,*,*,*,12287,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
58,*,*,*,12318,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,*,*,*,1234,unknown,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,*,*,*,12544,unknown,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,*,*,*,12574,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
62,*,*,*,12582,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,*,*,*,1260,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
64,*,*,*,1266,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,*,*,*,1269,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
66,*,*,*,1269,unknown,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
67,*,*,*,12697,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
68,*,*,*,1273,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,*,*,*,1276,unknown,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,*,*,*,1283,unknown,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,*,*,*,12846,unknown,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,*,*,*,1286,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,*,*,*,12902,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
74,*,*,*,1293,unknown,tcp,FIN,"[0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
75,*,*,*,12988,unknown,tcp,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,*,*,*,13041,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
77,*,*,*,1305,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
78,*,*,*,13115,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
79,*,*,*,13136,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,*,*,*,1315,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,*,*,*,13183,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
82,*,*,*,13194,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
83,*,*,*,1320,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
84,*,*,*,1321,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
85,*,*,*,13247,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
86,*,*,*,1328,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
87,*,*,*,13295,unknown,tcp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
88,*,*,*,1334,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
89,*,*,*,13510,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
90,*,*,*,13524,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,*,*,*,1353,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
92,*,*,*,1358,unknown,tcp,FIN,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,*,*,*,13600,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,*,*,*,1366,unknown,tcp,FIN,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,*,*,*,1374,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
96,*,*,*,138,unknown,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
97,*,*,*,13820,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,*,*,*,13882,unknown,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,*,*,*,1390,unknown,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,*,*,*,13953,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
101,*,*,*,1399,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,*,*,*,14070,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,*,*,*,14115,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
104,*,*,*,14120,unknown,tcp,FIN,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105,*,*,*,14141,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
