cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,*,*,*,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,*,*,*,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,*,*,*,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
3,*,*,10.40.182.3,*,*,*,INT,"[19, 20, 21, 20, 19, 20, 19, 14, 21, 19, 20, 28, 38]"
4,*,*,10.40.85.1,*,*,*,CON,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
5,*,*,10.40.85.30,*,*,*,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
6,*,*,149.171.126.0,*,*,*,CON,"[915, 770, 729, 733, 742, 722, 743, 585, 827, 759, 797, 736, 834]"
7,*,*,149.171.126.0,*,*,*,FIN,"[1844, 1776, 1836, 1944, 1980, 1866, 2270, 1730, 1962, 1859, 1908, 1867, 1974]"
8,*,*,149.171.126.1,*,*,*,CON,"[808, 776, 825, 743, 798, 810, 717, 625, 837, 763, 765, 705, 830]"
9,*,*,149.171.126.1,*,*,*,FIN,"[1787, 1802, 1877, 2063, 1952, 1950, 2194, 1820, 1910, 2030, 1974, 1929, 2044]"
10,*,*,149.171.126.11,*,*,*,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
11,*,*,149.171.126.11,*,*,*,FIN,"[6, 0, 0, 0, 120, 14, 0, 0, 578, 0, 43, 26, 42]"
12,*,*,149.171.126.11,*,*,*,REQ,"[0, 0, 0, 0, 0, 0, 374, 0, 0, 0, 0, 0, 0]"
13,*,*,149.171.126.11,*,*,*,INT,"[0, 0, 0, 0, 28, 0, 95, 50, 202, 0, 0, 0, 0]"
14,*,*,149.171.126.12,*,*,*,FIN,"[8, 14, 4, 101, 260, 0, 223, 6, 0, 0, 252, 0, 0]"
15,*,*,149.171.126.12,*,*,*,INT,"[0, 0, 231, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
16,*,*,149.171.126.12,*,*,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
17,*,*,149.171.126.13,*,*,*,FIN,"[27, 0, 254, 0, 131, 260, 7, 0, 43, 0, 247, 0, 2]"
18,*,*,149.171.126.13,*,*,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
19,*,*,149.171.126.13,*,*,*,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,*,*,149.171.126.13,*,*,*,INT,"[0, 0, 0, 0, 20, 0, 0, 0, 286, 0, 0, 0, 0]"
21,*,*,149.171.126.13,*,*,*,CON,"[0, 0, 0, 0, 0, 451, 0, 0, 0, 0, 0, 0, 0]"
22,*,*,149.171.126.14,*,*,*,FIN,"[213, 13, 88, 6, 218, 32, 102, 88, 7, 0, 0, 0, 58]"
23,*,*,149.171.126.14,*,*,*,INT,"[0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 18, 0, 64]"
24,*,*,149.171.126.14,*,*,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
25,*,*,149.171.126.15,*,*,*,REQ,"[348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,*,*,149.171.126.15,*,*,*,FIN,"[0, 210, 151, 26, 25, 173, 0, 98, 200, 0, 32, 238, 265]"
27,*,*,149.171.126.15,*,*,*,INT,"[0, 34, 0, 0, 0, 30, 32, 0, 0, 0, 17, 29, 0]"
28,*,*,149.171.126.16,*,*,*,ECO,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,*,*,149.171.126.16,*,*,*,INT,"[61, 0, 48, 198, 23, 0, 0, 0, 0, 0, 0, 31, 0]"
30,*,*,149.171.126.16,*,*,*,RST,"[0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,*,*,149.171.126.16,*,*,*,FIN,"[0, 0, 239, 42, 41, 0, 45, 12, 0, 17, 9, 7, 0]"
32,*,*,149.171.126.16,*,*,*,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
33,*,*,149.171.126.17,*,*,*,FIN,"[87, 59, 0, 0, 85, 0, 55, 56, 0, 0, 27, 0, 0]"
34,*,*,149.171.126.17,*,*,*,INT,"[29, 0, 0, 0, 0, 33, 0, 0, 0, 0, 32, 18, 0]"
35,*,*,149.171.126.17,*,*,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
36,*,*,149.171.126.17,*,*,*,RST,"[0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0]"
37,*,*,149.171.126.17,*,*,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610]"
38,*,*,149.171.126.18,*,*,*,INT,"[30, 17, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 48]"
39,*,*,149.171.126.18,*,*,*,FIN,"[0, 16, 89, 25, 0, 6, 2, 0, 32, 75, 113, 61, 0]"
40,*,*,149.171.126.18,*,*,*,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 533, 0]"
41,*,*,149.171.126.19,*,*,*,CON,"[2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,*,*,149.171.126.19,*,*,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
43,*,*,149.171.126.19,*,*,*,FIN,"[579, 119, 29, 0, 70, 15, 567, 7, 42, 74, 0, 20, 0]"
44,*,*,149.171.126.19,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0]"
45,*,*,149.171.126.2,*,*,*,CON,"[835, 760, 785, 754, 837, 688, 714, 598, 778, 746, 796, 740, 846]"
46,*,*,149.171.126.2,*,*,*,FIN,"[1897, 1840, 1804, 2019, 1881, 1853, 2302, 1819, 1912, 1758, 1889, 1846, 2054]"
47,*,*,149.171.126.3,*,*,*,CON,"[867, 787, 770, 797, 816, 735, 705, 643, 791, 692, 755, 788, 782]"
48,*,*,149.171.126.3,*,*,*,FIN,"[1885, 1826, 1850, 2003, 1944, 1834, 2164, 1746, 1986, 1893, 1926, 1896, 2041]"
49,*,*,149.171.126.4,*,*,*,CON,"[824, 765, 800, 806, 818, 748, 752, 643, 786, 780, 785, 775, 781]"
50,*,*,149.171.126.4,*,*,*,FIN,"[1862, 1705, 1898, 2127, 1871, 1913, 2247, 1694, 1792, 1899, 1952, 1827, 1991]"
51,*,*,149.171.126.5,*,*,*,CON,"[800, 726, 816, 750, 790, 713, 779, 571, 825, 679, 802, 717, 809]"
52,*,*,149.171.126.5,*,*,*,FIN,"[1878, 1717, 2029, 2017, 1880, 1879, 2209, 1728, 1977, 1874, 1891, 1838, 2190]"
53,*,*,149.171.126.6,*,*,*,CON,"[818, 732, 772, 766, 731, 748, 683, 597, 793, 681, 784, 748, 792]"
54,*,*,149.171.126.6,*,*,*,FIN,"[1763, 1766, 1789, 2042, 1944, 1905, 2083, 1671, 2011, 1793, 1851, 1897, 1875]"
55,*,*,149.171.126.7,*,*,*,CON,"[808, 771, 746, 686, 774, 689, 748, 580, 732, 694, 732, 700, 736]"
56,*,*,149.171.126.7,*,*,*,FIN,"[1763, 1752, 1759, 1883, 1958, 1796, 2113, 1688, 1776, 1781, 1914, 1799, 2074]"
57,*,*,149.171.126.8,*,*,*,CON,"[811, 747, 708, 707, 723, 701, 722, 602, 732, 699, 710, 735, 750]"
58,*,*,149.171.126.8,*,*,*,FIN,"[1799, 1729, 1732, 2089, 1840, 1778, 1947, 1589, 1891, 1684, 1747, 1739, 1830]"
59,*,*,149.171.126.8,*,*,*,RST,"[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0]"
60,*,*,149.171.126.9,*,*,*,CON,"[799, 683, 724, 760, 759, 752, 737, 606, 774, 691, 686, 694, 742]"
61,*,*,149.171.126.9,*,*,*,FIN,"[1778, 1599, 1840, 2050, 1993, 1863, 1991, 1573, 1904, 1772, 1813, 1833, 1901]"
62,*,*,175.45.176.1,*,*,*,FIN,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5]"
63,*,*,175.45.176.1,*,*,*,INT,"[0, 0, 5, 3, 9450, 15750, 9763, 6048, 0, 3, 0, 0, 0]"
64,*,*,175.45.176.2,*,*,*,FIN,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,*,*,175.45.176.2,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
66,*,*,175.45.176.2,*,*,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
67,*,*,175.45.176.3,*,*,*,INT,"[8820, 8258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,*,*,192.168.241.50,*,*,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
69,*,*,192.168.241.50,*,*,*,REQ,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
70,*,*,224.0.0.1,*,*,*,INT,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
71,*,*,224.0.0.5,*,*,*,INT,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4, 0]"
72,*,*,224.0.0.5,*,*,*,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
73,*,*,59.166.0.0,*,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
74,*,*,149.171.126.10,*,*,*,FIN,"[0, 7, 87, 0, 18, 0, 0, 8, 30, 0, 64, 7, 545]"
75,*,*,149.171.126.10,*,*,*,INT,"[0, 0, 209, 0, 35, 0, 0, 0, 0, 203, 36, 0, 0]"
76,*,*,149.171.126.10,*,*,*,REQ,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,*,*,149.171.126.10,*,*,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
78,*,*,10.40.198.10,*,*,*,INT,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
79,*,*,175.45.176.0,*,*,*,INT,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 9622, 12525, 7548]"
80,*,*,175.45.176.0,*,*,*,REQ,"[0, 0, 0, 0, 52, 44, 0, 0, 0, 0, 26, 14, 0]"
81,*,*,59.166.0.1,*,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
82,*,*,59.166.0.8,*,*,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
