cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,*,*,arp,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,*,*,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,*,*,arp,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
3,*,*,10.40.182.3,*,*,arp,INT,"[19, 20, 21, 20, 19, 20, 19, 14, 21, 19, 20, 28, 38]"
4,*,*,10.40.85.1,*,*,arp,CON,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
5,*,*,10.40.85.30,*,*,arp,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
6,*,*,149.171.126.0,*,*,tcp,FIN,"[1844, 1776, 1836, 1944, 1980, 1866, 2270, 1730, 1962, 1859, 1908, 1867, 1974]"
7,*,*,149.171.126.0,*,*,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
8,*,*,149.171.126.0,*,*,udp,CON,"[915, 770, 729, 733, 742, 722, 743, 585, 825, 759, 796, 734, 834]"
9,*,*,149.171.126.1,*,*,tcp,FIN,"[1787, 1802, 1877, 2063, 1952, 1950, 2194, 1820, 1910, 2030, 1974, 1929, 2044]"
10,*,*,149.171.126.1,*,*,tcp,CON,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4, 0]"
11,*,*,149.171.126.1,*,*,udp,CON,"[808, 776, 825, 741, 798, 810, 717, 624, 836, 763, 763, 701, 830]"
12,*,*,149.171.126.11,*,*,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
13,*,*,149.171.126.11,*,*,tcp,FIN,"[6, 0, 0, 0, 120, 14, 0, 0, 578, 0, 43, 26, 42]"
14,*,*,149.171.126.11,*,*,tcp,REQ,"[0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 0]"
15,*,*,149.171.126.11,*,*,udp,INT,"[0, 0, 0, 0, 28, 0, 95, 50, 202, 0, 0, 0, 0]"
16,*,*,149.171.126.11,*,*,udp,REQ,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
17,*,*,149.171.126.12,*,*,tcp,FIN,"[8, 14, 4, 101, 260, 0, 223, 6, 0, 0, 252, 0, 0]"
18,*,*,149.171.126.12,*,*,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
19,*,*,149.171.126.12,*,*,udp,INT,"[0, 0, 231, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
