cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,*,*,arp,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,*,*,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,*,*,arp,*,"[34, 36, 38, 35, 34, 36, 33, 25, 38, 34, 35, 49, 70]"
3,*,*,10.40.85.1,*,*,arp,*,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
4,*,*,10.40.85.30,*,*,arp,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
5,*,*,149.171.126.0,*,*,tcp,*,"[1844, 1776, 1836, 1944, 1980, 1866, 2270, 1730, 1964, 1859, 1909, 1869, 1974]"
6,*,*,149.171.126.0,*,*,udp,*,"[915, 770, 729, 733, 742, 722, 743, 585, 825, 759, 796, 734, 834]"
7,*,*,149.171.126.1,*,*,tcp,*,"[1787, 1802, 1877, 2065, 1952, 1950, 2194, 1821, 1911, 2030, 1976, 1933, 2044]"
8,*,*,149.171.126.1,*,*,udp,*,"[808, 776, 825, 741, 798, 810, 717, 624, 836, 763, 763, 701, 830]"
9,*,*,149.171.126.11,*,*,tcp,*,"[8, 0, 0, 0, 120, 14, 372, 0, 581, 0, 44, 26, 43]"
10,*,*,149.171.126.11,*,*,udp,*,"[0, 0, 0, 0, 28, 0, 97, 50, 202, 0, 0, 0, 0]"
11,*,*,149.171.126.12,*,*,tcp,*,"[8, 14, 5, 101, 260, 0, 223, 6, 0, 0, 254, 0, 0]"
12,*,*,149.171.126.12,*,*,udp,*,"[0, 0, 231, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
13,*,*,149.171.126.13,*,*,tcp,*,"[27, 0, 264, 0, 131, 711, 7, 0, 43, 0, 248, 0, 2]"
14,*,*,149.171.126.13,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
15,*,*,149.171.126.13,*,*,udp,*,"[0, 0, 0, 0, 20, 0, 0, 0, 286, 0, 0, 0, 0]"
16,*,*,149.171.126.14,*,*,tcp,*,"[213, 13, 88, 6, 218, 32, 103, 88, 17, 0, 0, 2, 58]"
17,*,*,149.171.126.14,*,*,udp,*,"[0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 19, 0, 64]"
18,*,*,149.171.126.15,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]"
19,*,*,149.171.126.15,*,*,tcp,*,"[348, 210, 152, 26, 25, 173, 2, 98, 200, 0, 32, 238, 265]"
20,*,*,149.171.126.15,*,*,udp,*,"[0, 34, 0, 0, 0, 30, 32, 0, 0, 0, 17, 29, 0]"
21,*,*,149.171.126.16,*,*,icmp,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
22,*,*,149.171.126.16,*,*,udp,*,"[61, 0, 48, 198, 23, 0, 0, 0, 0, 0, 0, 31, 0]"
23,*,*,149.171.126.16,*,*,tcp,*,"[0, 62, 239, 43, 42, 0, 46, 12, 0, 17, 9, 7, 0]"
24,*,*,149.171.126.17,*,*,tcp,*,"[87, 59, 0, 0, 85, 2, 55, 113, 0, 0, 27, 0, 610]"
25,*,*,149.171.126.17,*,*,udp,*,"[29, 0, 0, 0, 0, 33, 0, 0, 0, 0, 32, 18, 0]"
26,*,*,149.171.126.17,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
27,*,*,149.171.126.18,*,*,udp,*,"[30, 17, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 48]"
28,*,*,149.171.126.18,*,*,tcp,*,"[0, 16, 89, 25, 0, 6, 2, 0, 218, 75, 113, 594, 0]"
29,*,*,149.171.126.19,*,*,icmp,*,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
30,*,*,149.171.126.19,*,*,tcp,*,"[581, 119, 33, 0, 70, 15, 567, 7, 42, 74, 0, 20, 0]"
31,*,*,149.171.126.19,*,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0]"
32,*,*,149.171.126.2,*,*,tcp,*,"[1901, 1840, 1804, 2021, 1881, 1853, 2304, 1819, 1912, 1758, 1894, 1857, 2054]"
33,*,*,149.171.126.2,*,*,udp,*,"[831, 760, 785, 752, 837, 688, 712, 598, 778, 746, 791, 729, 846]"
34,*,*,149.171.126.3,*,*,tcp,*,"[1887, 1826, 1850, 2007, 1944, 1834, 2164, 1746, 1990, 1893, 1928, 1896, 2041]"
35,*,*,149.171.126.3,*,*,udp,*,"[865, 787, 770, 793, 816, 735, 705, 643, 787, 692, 753, 788, 782]"
36,*,*,149.171.126.4,*,*,tcp,*,"[1871, 1705, 1900, 2129, 1873, 1913, 2250, 1694, 1792, 1899, 1952, 1828, 1991]"
37,*,*,149.171.126.4,*,*,udp,*,"[815, 765, 798, 804, 816, 748, 749, 643, 786, 780, 785, 774, 781]"
38,*,*,149.171.126.5,*,*,tcp,*,"[1883, 1717, 2031, 2019, 1880, 1879, 2212, 1728, 1977, 1874, 1891, 1838, 2190]"
39,*,*,149.171.126.5,*,*,udp,*,"[795, 726, 814, 748, 790, 713, 776, 571, 825, 679, 802, 717, 809]"
40,*,*,149.171.126.6,*,*,tcp,*,"[1765, 1766, 1789, 2042, 1944, 1905, 2090, 1671, 2011, 1793, 1852, 1898, 1875]"
41,*,*,149.171.126.6,*,*,udp,*,"[816, 732, 772, 766, 731, 748, 676, 597, 793, 681, 783, 747, 792]"
42,*,*,149.171.126.7,*,*,tcp,*,"[1769, 1752, 1777, 1885, 1960, 1796, 2113, 1689, 1784, 1781, 1914, 1819, 2074]"
43,*,*,149.171.126.7,*,*,udp,*,"[802, 771, 728, 684, 772, 689, 748, 580, 724, 694, 732, 680, 736]"
44,*,*,149.171.126.8,*,*,tcp,*,"[1799, 1729, 1734, 2091, 1841, 1778, 1947, 1596, 1893, 1684, 1747, 1740, 1830]"
45,*,*,149.171.126.8,*,*,udp,*,"[811, 747, 706, 705, 722, 701, 722, 602, 730, 699, 710, 734, 750]"
46,*,*,149.171.126.9,*,*,tcp,*,"[1778, 1599, 1840, 2050, 1993, 1863, 1993, 1573, 1908, 1772, 1815, 1833, 1901]"
47,*,*,149.171.126.9,*,*,udp,*,"[799, 683, 724, 760, 759, 752, 735, 606, 770, 691, 684, 694, 742]"
48,*,*,175.45.176.1,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5]"
49,*,*,175.45.176.1,*,*,udp,*,"[0, 0, 5, 3, 9450, 15750, 9763, 6048, 0, 3, 0, 0, 0]"
50,*,*,175.45.176.2,*,*,tcp,*,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,*,*,175.45.176.2,*,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
52,*,*,175.45.176.2,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
53,*,*,175.45.176.3,*,*,udp,*,"[8820, 8258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,*,*,192.168.241.50,*,*,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
55,*,*,192.168.241.50,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
56,*,*,224.0.0.1,*,*,igmp,*,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
57,*,*,224.0.0.5,*,*,ospf,*,"[42, 40, 42, 40, 42, 40, 42, 32, 40, 40, 40, 56, 80]"
58,*,*,59.166.0.0,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
59,*,*,149.171.126.10,*,*,tcp,*,"[0, 7, 87, 0, 18, 0, 0, 9, 30, 2, 64, 7, 545]"
60,*,*,149.171.126.10,*,*,udp,*,"[0, 0, 214, 0, 36, 0, 0, 0, 0, 203, 36, 0, 0]"
61,*,*,149.171.126.10,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
62,*,*,10.40.198.10,*,*,udp,*,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
63,*,*,175.45.176.0,*,*,udp,*,"[0, 0, 0, 0, 60, 44, 0, 0, 0, 0, 9648, 12539, 7548]"
64,*,*,59.166.0.1,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
65,*,*,59.166.0.8,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
