cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,*,unknown,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,*,unknown,*,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,*,unknown,*,*,"[34, 36, 38, 35, 34, 36, 33, 25, 38, 34, 35, 49, 70]"
3,*,*,10.40.85.1,*,unknown,*,*,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
4,*,*,10.40.85.30,*,unknown,*,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
5,*,*,149.171.126.0,*,dns,*,*,"[621, 515, 527, 517, 500, 498, 537, 432, 557, 518, 539, 496, 608]"
6,*,*,149.171.126.0,*,ftp,*,*,"[64, 56, 60, 65, 67, 53, 56, 46, 64, 63, 64, 48, 74]"
7,*,*,149.171.126.0,*,http,*,*,"[269, 273, 287, 280, 307, 288, 317, 259, 302, 231, 293, 255, 278]"
8,*,*,149.171.126.0,*,smtp,*,*,"[135, 126, 116, 97, 103, 110, 99, 90, 110, 117, 126, 124, 125]"
9,*,*,149.171.126.0,*,ssh,*,*,"[46, 64, 76, 115, 81, 87, 38, 22, 45, 63, 65, 83, 63]"
10,*,*,149.171.126.0,*,unknown,*,*,"[1624, 1512, 1499, 1603, 1664, 1552, 1966, 1466, 1711, 1626, 1618, 1597, 1660]"
11,*,*,149.171.126.1,*,dns,*,*,"[531, 516, 560, 508, 549, 520, 497, 456, 584, 495, 538, 480, 607]"
12,*,*,149.171.126.1,*,ftp,*,*,"[63, 65, 71, 66, 62, 69, 67, 56, 67, 67, 65, 64, 57]"
13,*,*,149.171.126.1,*,http,*,*,"[300, 271, 262, 277, 290, 240, 284, 264, 281, 251, 293, 276, 297]"
14,*,*,149.171.126.1,*,smtp,*,*,"[129, 95, 122, 102, 113, 110, 121, 74, 129, 124, 112, 142, 114]"
15,*,*,149.171.126.1,*,ssh,*,*,"[38, 70, 75, 122, 87, 77, 28, 13, 27, 74, 72, 77, 87]"
16,*,*,149.171.126.1,*,unknown,*,*,"[1534, 1561, 1612, 1731, 1649, 1744, 1914, 1582, 1659, 1782, 1659, 1595, 1712]"
17,*,*,149.171.126.11,*,unknown,*,*,"[8, 0, 0, 0, 122, 13, 470, 50, 783, 0, 44, 27, 43]"
18,*,*,149.171.126.11,*,ftp,*,*,"[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0]"
19,*,*,149.171.126.12,*,unknown,*,*,"[8, 8, 236, 101, 260, 0, 223, 6, 0, 0, 255, 0, 0]"
20,*,*,149.171.126.12,*,http,*,*,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,*,*,149.171.126.13,*,unknown,*,*,"[27, 0, 254, 0, 117, 713, 8, 0, 293, 0, 241, 0, 6]"
22,*,*,149.171.126.13,*,ssh,*,*,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,*,*,149.171.126.13,*,ftp,*,*,"[0, 0, 0, 0, 35, 0, 0, 0, 36, 0, 0, 0, 0]"
24,*,*,149.171.126.13,*,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
25,*,*,149.171.126.14,*,unknown,*,*,"[213, 12, 88, 39, 209, 19, 103, 88, 7, 0, 19, 2, 122]"
26,*,*,149.171.126.14,*,ftp,*,*,"[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
27,*,*,149.171.126.14,*,http,*,*,"[0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0]"
28,*,*,149.171.126.14,*,ssh,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
29,*,*,149.171.126.15,*,unknown,*,*,"[349, 244, 152, 26, 19, 203, 34, 98, 200, 4, 51, 248, 265]"
30,*,*,149.171.126.15,*,http,*,*,"[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 18, 0]"
31,*,*,149.171.126.16,*,unknown,*,*,"[62, 60, 289, 241, 65, 0, 46, 13, 0, 16, 0, 40, 0]"
32,*,*,149.171.126.16,*,http,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,*,*,149.171.126.16,*,ftp,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]"
34,*,*,149.171.126.17,*,unknown,*,*,"[116, 59, 0, 0, 84, 36, 56, 113, 0, 0, 32, 20, 610]"
35,*,*,149.171.126.17,*,ftp,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0]"
36,*,*,149.171.126.18,*,unknown,*,*,"[30, 32, 19, 26, 0, 23, 2, 0, 219, 75, 113, 594, 49]"
37,*,*,149.171.126.18,*,ftp,*,*,"[0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,*,*,149.171.126.19,*,http,*,*,"[487, 80, 20, 0, 0, 0, 528, 0, 0, 0, 0, 0, 0]"
39,*,*,149.171.126.19,*,unknown,*,*,"[95, 39, 13, 3, 70, 16, 39, 7, 8, 107, 0, 23, 0]"
40,*,*,149.171.126.19,*,ftp,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0]"
41,*,*,149.171.126.2,*,dns,*,*,"[576, 538, 565, 524, 581, 491, 497, 440, 549, 487, 540, 499, 575]"
42,*,*,149.171.126.2,*,ftp,*,*,"[80, 56, 62, 59, 50, 39, 60, 61, 58, 62, 63, 58, 73]"
43,*,*,149.171.126.2,*,http,*,*,"[276, 282, 245, 246, 277, 282, 284, 230, 266, 210, 276, 250, 301]"
44,*,*,149.171.126.2,*,smtp,*,*,"[120, 115, 115, 120, 131, 110, 104, 102, 120, 118, 101, 90, 106]"
45,*,*,149.171.126.2,*,ssh,*,*,"[50, 71, 76, 111, 102, 90, 31, 20, 32, 60, 85, 79, 89]"
46,*,*,149.171.126.2,*,unknown,*,*,"[1630, 1538, 1526, 1713, 1577, 1529, 2040, 1564, 1665, 1567, 1620, 1610, 1756]"
47,*,*,149.171.126.3,*,dns,*,*,"[564, 511, 535, 545, 567, 488, 484, 451, 536, 508, 518, 545, 536]"
48,*,*,149.171.126.3,*,ftp,*,*,"[61, 52, 61, 59, 75, 52, 54, 49, 73, 73, 68, 66, 63]"
49,*,*,149.171.126.3,*,http,*,*,"[322, 286, 244, 278, 269, 232, 294, 240, 285, 277, 296, 247, 324]"
50,*,*,149.171.126.3,*,smtp,*,*,"[160, 122, 141, 105, 111, 117, 115, 82, 106, 121, 108, 108, 130]"
51,*,*,149.171.126.3,*,ssh,*,*,"[42, 50, 66, 122, 81, 73, 30, 17, 57, 57, 73, 94, 81]"
52,*,*,149.171.126.3,*,unknown,*,*,"[1603, 1592, 1573, 1691, 1657, 1607, 1892, 1550, 1720, 1549, 1618, 1624, 1689]"
53,*,*,149.171.126.4,*,dns,*,*,"[564, 555, 553, 542, 549, 505, 532, 460, 560, 540, 560, 530, 563]"
54,*,*,149.171.126.4,*,ftp,*,*,"[69, 66, 69, 74, 57, 62, 48, 39, 50, 66, 73, 63, 68]"
55,*,*,149.171.126.4,*,http,*,*,"[302, 289, 278, 310, 297, 276, 298, 255, 306, 269, 269, 274, 305]"
56,*,*,149.171.126.4,*,smtp,*,*,"[107, 124, 119, 104, 134, 98, 91, 82, 112, 111, 117, 119, 105]"
57,*,*,149.171.126.4,*,ssh,*,*,"[39, 56, 84, 123, 71, 74, 29, 13, 46, 68, 78, 72, 91]"
58,*,*,149.171.126.4,*,unknown,*,*,"[1605, 1380, 1595, 1780, 1581, 1646, 2001, 1488, 1504, 1625, 1640, 1544, 1640]"
59,*,*,149.171.126.5,*,dns,*,*,"[572, 501, 534, 509, 547, 503, 560, 408, 560, 449, 553, 477, 559]"
60,*,*,149.171.126.5,*,ftp,*,*,"[81, 48, 82, 56, 62, 65, 56, 40, 62, 55, 60, 70, 82]"
61,*,*,149.171.126.5,*,http,*,*,"[293, 225, 289, 292, 256, 252, 295, 240, 282, 273, 261, 228, 324]"
62,*,*,149.171.126.5,*,smtp,*,*,"[122, 111, 130, 120, 114, 108, 125, 63, 119, 116, 136, 102, 123]"
63,*,*,149.171.126.5,*,ssh,*,*,"[46, 59, 70, 123, 95, 97, 42, 24, 49, 78, 72, 93, 94]"
64,*,*,149.171.126.5,*,unknown,*,*,"[1564, 1499, 1740, 1667, 1596, 1567, 1910, 1524, 1730, 1582, 1611, 1585, 1817]"
65,*,*,149.171.126.6,*,dns,*,*,"[554, 498, 552, 535, 520, 489, 458, 415, 525, 470, 514, 500, 578]"
66,*,*,149.171.126.6,*,ftp,*,*,"[61, 59, 71, 65, 75, 66, 50, 46, 66, 75, 58, 69, 53]"
67,*,*,149.171.126.6,*,http,*,*,"[301, 260, 273, 270, 268, 270, 293, 261, 270, 205, 265, 261, 291]"
68,*,*,149.171.126.6,*,smtp,*,*,"[126, 119, 109, 113, 117, 122, 100, 82, 109, 97, 120, 102, 111]"
69,*,*,149.171.126.6,*,ssh,*,*,"[32, 52, 69, 121, 89, 70, 28, 17, 52, 65, 68, 76, 91]"
70,*,*,149.171.126.6,*,unknown,*,*,"[1507, 1510, 1487, 1704, 1606, 1636, 1837, 1447, 1782, 1562, 1610, 1637, 1543]"
71,*,*,149.171.126.7,*,dns,*,*,"[568, 521, 509, 506, 540, 479, 517, 411, 517, 486, 533, 472, 506]"
72,*,*,149.171.126.7,*,ftp,*,*,"[71, 68, 67, 67, 74, 53, 42, 49, 60, 53, 70, 55, 50]"
73,*,*,149.171.126.7,*,http,*,*,"[294, 276, 282, 263, 271, 259, 269, 244, 262, 267, 254, 251, 313]"
74,*,*,149.171.126.7,*,smtp,*,*,"[119, 113, 108, 103, 113, 111, 81, 74, 117, 113, 113, 115, 123]"
75,*,*,149.171.126.7,*,ssh,*,*,"[45, 59, 66, 98, 81, 67, 27, 21, 54, 67, 71, 87, 72]"
76,*,*,149.171.126.7,*,unknown,*,*,"[1474, 1486, 1473, 1532, 1653, 1516, 1925, 1470, 1498, 1489, 1605, 1519, 1746]"
77,*,*,149.171.126.8,*,dns,*,*,"[542, 526, 528, 513, 484, 499, 532, 435, 500, 470, 496, 500, 547]"
78,*,*,149.171.126.8,*,ftp,*,*,"[56, 57, 69, 68, 61, 53, 38, 43, 81, 55, 52, 43, 44]"
79,*,*,149.171.126.8,*,http,*,*,"[310, 245, 252, 307, 255, 273, 270, 263, 295, 231, 260, 254, 290]"
80,*,*,149.171.126.8,*,smtp,*,*,"[128, 118, 111, 118, 111, 106, 86, 72, 116, 83, 115, 109, 120]"
81,*,*,149.171.126.8,*,ssh,*,*,"[35, 64, 70, 116, 93, 69, 30, 18, 47, 49, 54, 99, 68]"
82,*,*,149.171.126.8,*,unknown,*,*,"[1539, 1466, 1410, 1674, 1559, 1479, 1713, 1367, 1584, 1495, 1480, 1469, 1511]"
83,*,*,149.171.126.9,*,dns,*,*,"[558, 475, 472, 538, 516, 501, 525, 411, 553, 489, 490, 469, 529]"
84,*,*,149.171.126.9,*,ftp,*,*,"[70, 50, 70, 71, 66, 56, 47, 44, 75, 62, 53, 51, 44]"
85,*,*,149.171.126.9,*,http,*,*,"[279, 260, 266, 290, 272, 256, 270, 244, 315, 208, 272, 254, 316]"
86,*,*,149.171.126.9,*,smtp,*,*,"[112, 102, 114, 105, 120, 105, 127, 86, 121, 100, 116, 98, 121]"
87,*,*,149.171.126.9,*,ssh,*,*,"[41, 60, 44, 112, 92, 74, 30, 22, 34, 63, 76, 98, 93]"
88,*,*,149.171.126.9,*,unknown,*,*,"[1517, 1335, 1598, 1694, 1686, 1623, 1729, 1372, 1580, 1541, 1492, 1557, 1540]"
89,*,*,175.45.176.1,*,unknown,*,*,"[2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4]"
90,*,*,175.45.176.1,*,dns,*,*,"[0, 0, 4, 3, 9450, 15750, 9763, 6048, 0, 3, 0, 0, 0]"
91,*,*,175.45.176.2,*,unknown,*,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]"
92,*,*,175.45.176.2,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
93,*,*,175.45.176.3,*,dns,*,*,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,*,*,192.168.241.50,*,unknown,*,*,"[7, 7, 6, 7, 7, 6, 10, 6, 6, 7, 7, 8, 14]"
95,*,*,224.0.0.1,*,unknown,*,*,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
96,*,*,224.0.0.5,*,unknown,*,*,"[42, 40, 42, 40, 42, 40, 42, 32, 40, 40, 40, 56, 80]"
97,*,*,59.166.0.0,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
98,*,*,149.171.126.10,*,unknown,*,*,"[0, 7, 301, 0, 54, 0, 0, 2, 18, 204, 66, 7, 15]"
99,*,*,149.171.126.10,*,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 7, 12, 0, 0, 0, 532]"
100,*,*,149.171.126.10,*,ftp,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0]"
