cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,*,unknown,arp,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,*,unknown,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,*,unknown,arp,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
3,*,*,10.40.182.3,*,unknown,arp,INT,"[19, 20, 21, 20, 19, 20, 19, 14, 21, 19, 20, 28, 38]"
4,*,*,10.40.85.1,*,unknown,arp,CON,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
5,*,*,10.40.85.30,*,unknown,arp,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
6,*,*,149.171.126.0,*,dns,udp,CON,"[621, 515, 527, 517, 500, 498, 537, 432, 557, 518, 539, 496, 608]"
7,*,*,149.171.126.0,*,ftp,tcp,FIN,"[64, 56, 60, 65, 67, 53, 56, 46, 64, 63, 64, 48, 74]"
8,*,*,149.171.126.0,*,http,tcp,FIN,"[269, 273, 287, 280, 307, 288, 317, 259, 302, 231, 293, 254, 278]"
9,*,*,149.171.126.0,*,smtp,tcp,FIN,"[135, 126, 116, 97, 103, 110, 99, 90, 110, 117, 126, 124, 125]"
10,*,*,149.171.126.0,*,ssh,tcp,FIN,"[46, 64, 76, 115, 81, 87, 38, 22, 45, 63, 65, 83, 63]"
11,*,*,149.171.126.0,*,unknown,tcp,FIN,"[1330, 1257, 1297, 1387, 1422, 1328, 1760, 1313, 1441, 1385, 1360, 1358, 1434]"
12,*,*,149.171.126.0,*,unknown,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
13,*,*,149.171.126.0,*,unknown,udp,CON,"[294, 255, 202, 216, 242, 224, 206, 153, 268, 241, 257, 238, 226]"
14,*,*,149.171.126.1,*,dns,udp,CON,"[531, 516, 560, 508, 549, 520, 497, 456, 584, 495, 538, 480, 607]"
15,*,*,149.171.126.1,*,ftp,tcp,FIN,"[63, 65, 71, 66, 62, 69, 67, 56, 67, 67, 65, 64, 57]"
16,*,*,149.171.126.1,*,http,tcp,FIN,"[300, 271, 262, 276, 290, 240, 284, 263, 281, 251, 293, 275, 297]"
17,*,*,149.171.126.1,*,smtp,tcp,FIN,"[129, 95, 122, 102, 113, 110, 121, 74, 129, 124, 112, 142, 114]"
18,*,*,149.171.126.1,*,ssh,tcp,FIN,"[38, 70, 75, 122, 87, 77, 28, 13, 27, 74, 72, 77, 87]"
19,*,*,149.171.126.1,*,unknown,tcp,FIN,"[1257, 1301, 1347, 1497, 1400, 1454, 1694, 1414, 1406, 1514, 1432, 1371, 1489]"
20,*,*,149.171.126.1,*,unknown,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0]"
21,*,*,149.171.126.1,*,unknown,udp,CON,"[277, 260, 265, 233, 249, 290, 220, 168, 252, 268, 225, 221, 223]"
22,*,*,149.171.126.11,*,unknown,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
23,*,*,149.171.126.11,*,unknown,tcp,FIN,"[6, 0, 0, 0, 93, 13, 0, 0, 578, 0, 43, 26, 42]"
