cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,*,unknown,arp,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,*,unknown,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,*,unknown,arp,*,"[34, 36, 38, 35, 34, 36, 33, 25, 38, 34, 35, 49, 70]"
3,*,*,10.40.85.1,*,unknown,arp,*,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
4,*,*,10.40.85.30,*,unknown,arp,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
5,*,*,149.171.126.0,*,dns,udp,*,"[621, 515, 527, 517, 500, 498, 537, 432, 557, 518, 539, 496, 608]"
6,*,*,149.171.126.0,*,ftp,tcp,*,"[64, 56, 60, 65, 67, 53, 56, 46, 64, 63, 64, 48, 74]"
7,*,*,149.171.126.0,*,http,tcp,*,"[269, 273, 287, 280, 307, 288, 317, 259, 302, 231, 293, 255, 278]"
8,*,*,149.171.126.0,*,smtp,tcp,*,"[135, 126, 116, 97, 103, 110, 99, 90, 110, 117, 126, 124, 125]"
9,*,*,149.171.126.0,*,ssh,tcp,*,"[46, 64, 76, 115, 81, 87, 38, 22, 45, 63, 65, 83, 63]"
10,*,*,149.171.126.0,*,unknown,tcp,*,"[1330, 1257, 1297, 1387, 1422, 1328, 1760, 1313, 1443, 1385, 1361, 1359, 1434]"
11,*,*,149.171.126.0,*,unknown,udp,*,"[294, 255, 202, 216, 242, 224, 206, 153, 268, 241, 257, 238, 226]"
12,*,*,149.171.126.1,*,dns,udp,*,"[531, 516, 560, 508, 549, 520, 497, 456, 584, 495, 538, 480, 607]"
13,*,*,149.171.126.1,*,ftp,tcp,*,"[63, 65, 71, 66, 62, 69, 67, 56, 67, 67, 65, 64, 57]"
14,*,*,149.171.126.1,*,http,tcp,*,"[300, 271, 262, 277, 290, 240, 284, 264, 281, 251, 293, 276, 297]"
15,*,*,149.171.126.1,*,smtp,tcp,*,"[129, 95, 122, 102, 113, 110, 121, 74, 129, 124, 112, 142, 114]"
16,*,*,149.171.126.1,*,ssh,tcp,*,"[38, 70, 75, 122, 87, 77, 28, 13, 27, 74, 72, 77, 87]"
17,*,*,149.171.126.1,*,unknown,tcp,*,"[1257, 1301, 1347, 1498, 1400, 1454, 1694, 1414, 1407, 1514, 1434, 1374, 1489]"
18,*,*,149.171.126.1,*,unknown,udp,*,"[277, 260, 265, 233, 249, 290, 220, 168, 252, 268, 225, 221, 223]"
19,*,*,149.171.126.11,*,unknown,tcp,*,"[8, 0, 0, 0, 93, 13, 372, 0, 581, 0, 44, 26, 43]"
20,*,*,149.171.126.11,*,unknown,udp,*,"[0, 0, 0, 0, 28, 0, 97, 50, 202, 0, 0, 0, 0]"
21,*,*,149.171.126.11,*,ftp,tcp,*,"[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0]"
22,*,*,149.171.126.12,*,unknown,tcp,*,"[8, 7, 5, 101, 260, 0, 223, 6, 0, 0, 254, 0, 0]"
23,*,*,149.171.126.12,*,unknown,udp,*,"[0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,*,*,149.171.126.12,*,http,tcp,*,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,*,*,149.171.126.13,*,unknown,tcp,*,"[27, 0, 254, 0, 96, 711, 7, 0, 7, 0, 241, 0, 2]"
26,*,*,149.171.126.13,*,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
27,*,*,149.171.126.13,*,unknown,udp,*,"[0, 0, 0, 0, 20, 0, 0, 0, 286, 0, 0, 0, 0]"
28,*,*,149.171.126.13,*,ssh,tcp,*,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,*,*,149.171.126.13,*,ftp,tcp,*,"[0, 0, 0, 0, 35, 0, 0, 0, 36, 0, 0, 0, 0]"
30,*,*,149.171.126.13,*,http,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
