cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,10.40.170.2,0,*,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,*,10.40.182.255,138,*,*,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
2,*,*,10.40.182.3,0,*,*,*,"[34, 36, 38, 35, 34, 36, 33, 25, 38, 34, 35, 49, 70]"
3,*,*,10.40.85.1,0,*,*,*,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
4,*,*,10.40.85.30,0,*,*,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
5,*,*,149.171.126.0,111,*,*,*,"[147, 128, 101, 108, 121, 113, 103, 77, 134, 121, 129, 120, 113]"
6,*,*,149.171.126.0,11399,*,*,*,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,*,*,149.171.126.0,143,*,*,*,"[59, 69, 58, 73, 65, 55, 71, 45, 78, 61, 68, 66, 53]"
8,*,*,149.171.126.0,17087,*,*,*,"[15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,*,149.171.126.0,18023,*,*,*,"[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,*,*,149.171.126.0,21,*,*,*,"[64, 56, 60, 65, 67, 53, 56, 46, 64, 63, 64, 48, 74]"
11,*,*,149.171.126.0,22,*,*,*,"[46, 64, 76, 115, 81, 87, 38, 22, 45, 63, 65, 83, 63]"
12,*,*,149.171.126.0,22432,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0]"
13,*,*,149.171.126.0,25,*,*,*,"[135, 126, 116, 97, 103, 110, 99, 90, 110, 117, 126, 124, 125]"
14,*,*,149.171.126.0,26143,*,*,*,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,*,*,149.171.126.0,27934,*,*,*,"[13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,*,*,149.171.126.0,32664,*,*,*,"[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
