cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,0,*,*,unknown,*,*,"[141, 139, 147, 139, 138, 139, 142, 106, 146, 137, 140, 186, 282]"
1,*,10010,*,*,unknown,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,*,10012,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
3,*,10017,*,*,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
4,*,10038,*,*,smtp,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,*,10038,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,*,10040,*,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
7,*,10053,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
8,*,10058,*,*,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
9,*,10061,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
10,*,10072,*,*,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
11,*,10074,*,*,unknown,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,*,10074,*,*,smtp,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
13,*,10075,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]"
14,*,10078,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
15,*,10083,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
16,*,10094,*,*,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,*,10118,*,*,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,*,10120,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]"
19,*,10141,*,*,dns,*,*,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,*,10143,*,*,unknown,*,*,"[0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
21,*,10144,*,*,unknown,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
22,*,10152,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]"
23,*,10158,*,*,unknown,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,*,10162,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
25,*,10165,*,*,unknown,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
26,*,10167,*,*,unknown,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,*,10176,*,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
28,*,10180,*,*,unknown,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,*,10185,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
30,*,10199,*,*,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,*,10201,*,*,unknown,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,*,10204,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
33,*,10212,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
34,*,10217,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
35,*,10218,*,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
36,*,10226,*,*,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,*,10241,*,*,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
38,*,10242,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
