cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,0,*,0,unknown,*,CON,"[57, 58, 61, 58, 56, 60, 58, 45, 62, 58, 58, 76, 118]"
1,*,0,*,0,unknown,*,INT,"[43, 41, 46, 43, 42, 39, 43, 31, 46, 39, 44, 58, 82]"
2,*,0,*,0,unknown,*,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
3,*,0,*,48879,unknown,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
4,*,10017,*,80,http,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
5,*,10038,*,25,smtp,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,*,10040,*,53,dns,*,CON,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
7,*,10053,*,6881,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
8,*,10058,*,80,http,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
9,*,10074,*,25,smtp,*,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
10,*,10141,*,53,dns,*,CON,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,*,10165,*,5190,unknown,*,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
12,*,10167,*,5190,unknown,*,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,*,10176,*,53,dns,*,CON,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
14,*,10180,*,5190,unknown,*,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,*,10218,*,53,dns,*,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
16,*,10226,*,53,dns,*,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,*,10241,*,53,dns,*,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
18,*,10245,*,53,dns,*,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,*,1025,*,179,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0]"
20,*,1025,*,36239,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
