cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,0,10.40.170.2,*,*,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,0,10.40.182.3,*,*,*,*,"[34, 36, 38, 35, 34, 36, 33, 25, 38, 34, 35, 49, 70]"
2,*,0,10.40.85.1,*,*,*,*,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
3,*,0,10.40.85.30,*,*,*,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
4,*,0,224.0.0.1,*,*,*,*,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
5,*,0,224.0.0.5,*,*,*,*,"[42, 40, 42, 40, 42, 40, 42, 32, 40, 40, 40, 56, 80]"
6,*,0,175.45.176.2,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
7,*,10017,149.171.126.3,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
8,*,10038,149.171.126.1,*,*,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,10040,149.171.126.2,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
10,*,10053,149.171.126.3,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
11,*,10058,149.171.126.6,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
12,*,10061,149.171.126.1,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
13,*,10074,149.171.126.0,*,*,*,*,"[0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
14,*,10074,149.171.126.1,*,*,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,*,10119,149.171.126.1,*,*,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
16,*,10120,149.171.126.3,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
17,*,10152,149.171.126.7,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
18,*,10158,149.171.126.1,*,*,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,*,10176,149.171.126.7,*,*,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
20,*,10180,149.171.126.2,*,*,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
