cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,0,10.40.170.2,0,unknown,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,0,10.40.182.3,0,unknown,*,*,"[34, 36, 38, 35, 34, 36, 33, 25, 38, 34, 35, 49, 70]"
2,*,0,10.40.85.1,0,unknown,*,*,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
3,*,0,10.40.85.30,0,unknown,*,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
4,*,0,224.0.0.1,0,unknown,*,*,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
5,*,0,224.0.0.5,0,unknown,*,*,"[42, 40, 42, 40, 42, 40, 42, 32, 40, 40, 40, 56, 80]"
6,*,0,175.45.176.2,48879,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
7,*,10017,149.171.126.3,80,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
8,*,10038,149.171.126.1,25,smtp,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,*,10053,149.171.126.3,6881,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
10,*,10058,149.171.126.6,80,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
11,*,10074,149.171.126.0,25,smtp,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
12,*,10180,149.171.126.2,5190,unknown,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,*,10218,149.171.126.6,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
14,*,10226,149.171.126.1,53,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,*,10241,149.171.126.3,53,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
16,*,10245,149.171.126.9,53,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,*,1025,149.171.126.11,179,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0]"
18,*,1027,149.171.126.7,53,dns,*,*,"[0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
19,*,10290,149.171.126.2,53,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,*,1030,149.171.126.4,80,http,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
21,*,10308,149.171.126.3,111,unknown,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
22,*,1031,149.171.126.12,179,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
23,*,1032,149.171.126.15,179,unknown,*,*,"[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
24,*,1036,149.171.126.8,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0]"
25,*,1037,149.171.126.14,179,unknown,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
26,*,10377,149.171.126.0,5190,unknown,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
27,*,10390,149.171.126.2,6881,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
28,*,1043,175.45.176.3,53,dns,*,*,"[4508, 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,*,1043,175.45.176.1,53,dns,*,*,"[0, 0, 0, 0, 5175, 8625, 5336, 3312, 0, 0, 0, 0, 0]"
30,*,1043,175.45.176.0,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084, 3672]"
31,*,10455,149.171.126.8,53,dns,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
32,*,10480,149.171.126.9,53,dns,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,*,1049,149.171.126.12,179,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
34,*,10498,149.171.126.3,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
35,*,1051,149.171.126.1,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
36,*,10545,149.171.126.1,53,dns,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
37,*,10552,149.171.126.7,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
38,*,10629,149.171.126.17,53727,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
39,*,10659,149.171.126.16,179,unknown,*,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,*,1067,149.171.126.0,25,smtp,*,*,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,*,1067,149.171.126.1,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
42,*,10696,149.171.126.7,80,http,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,*,1070,149.171.126.8,53,dns,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]"
44,*,10752,149.171.126.5,6881,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
45,*,1078,149.171.126.18,21,ftp,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,*,10898,149.171.126.7,80,http,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,*,10908,149.171.126.0,53,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,*,10934,149.171.126.4,80,http,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,*,1094,149.171.126.3,53,dns,*,*,"[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
50,*,1095,149.171.126.14,179,unknown,*,*,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
51,*,10952,149.171.126.2,53,dns,*,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
52,*,10967,149.171.126.6,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
53,*,10982,149.171.126.3,80,http,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,*,10982,149.171.126.3,80,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,*,10982,149.171.126.7,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
56,*,11005,149.171.126.1,80,http,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
57,*,1101,149.171.126.8,53,dns,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,*,11034,149.171.126.2,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
59,*,11048,149.171.126.8,5190,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,*,11048,149.171.126.6,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
61,*,1109,149.171.126.3,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
62,*,1110,149.171.126.3,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
63,*,11102,149.171.126.5,53,dns,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
64,*,1111,149.171.126.16,179,unknown,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,*,11115,149.171.126.6,53,dns,*,*,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,*,1120,149.171.126.9,143,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
67,*,11211,149.171.126.3,53,dns,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,*,11247,149.171.126.7,5190,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,*,1135,149.171.126.2,53,dns,*,*,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,*,1135,149.171.126.14,179,unknown,*,*,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
71,*,11443,149.171.126.4,53,dns,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
72,*,11539,149.171.126.3,53,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
73,*,11541,149.171.126.16,179,unknown,*,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,*,11570,149.171.126.5,5190,unknown,*,*,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,*,11578,149.171.126.16,179,unknown,*,*,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
