cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,0,10.40.170.2,0,unknown,arp,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,*,0,10.40.182.3,0,unknown,arp,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,*,0,10.40.182.3,0,unknown,arp,INT,"[19, 20, 21, 20, 19, 20, 19, 14, 21, 19, 20, 28, 38]"
3,*,0,10.40.85.1,0,unknown,arp,CON,"[26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35, 54]"
4,*,0,10.40.85.30,0,unknown,arp,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
5,*,0,224.0.0.1,0,unknown,igmp,INT,"[3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6]"
6,*,0,224.0.0.5,0,unknown,ospf,INT,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 4, 0]"
7,*,0,224.0.0.5,0,unknown,ospf,REQ,"[40, 40, 40, 38, 40, 40, 40, 30, 38, 40, 38, 52, 80]"
8,*,0,175.45.176.2,48879,unknown,icmp,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
9,*,10017,149.171.126.3,80,http,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
10,*,10038,149.171.126.1,25,smtp,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,*,10053,149.171.126.3,6881,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
12,*,10058,149.171.126.6,80,http,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
13,*,10074,149.171.126.0,25,smtp,tcp,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
14,*,10180,149.171.126.2,5190,unknown,tcp,FIN,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,*,10218,149.171.126.6,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
16,*,10226,149.171.126.1,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,*,10241,149.171.126.3,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
18,*,10245,149.171.126.9,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,*,1025,149.171.126.11,179,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0]"
20,*,1027,149.171.126.7,53,dns,udp,CON,"[0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
21,*,10290,149.171.126.2,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,*,1030,149.171.126.4,80,http,tcp,FIN,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
23,*,10308,149.171.126.3,111,unknown,udp,CON,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
24,*,1031,149.171.126.12,179,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
25,*,1032,149.171.126.15,179,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
26,*,1036,149.171.126.8,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0]"
27,*,1037,149.171.126.14,179,unknown,tcp,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
28,*,10377,149.171.126.0,5190,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
29,*,10390,149.171.126.2,6881,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
30,*,1043,175.45.176.3,53,dns,udp,INT,"[4508, 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,*,1043,175.45.176.1,53,dns,udp,INT,"[0, 0, 0, 0, 5175, 8625, 5336, 3312, 0, 0, 0, 0, 0]"
32,*,1043,175.45.176.0,53,dns,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084, 3672]"
33,*,10455,149.171.126.8,53,dns,udp,CON,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
34,*,10480,149.171.126.9,53,dns,udp,CON,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,*,1049,149.171.126.12,179,unknown,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
36,*,10498,149.171.126.3,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
37,*,1051,149.171.126.1,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
38,*,10545,149.171.126.1,53,dns,udp,CON,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
39,*,10552,149.171.126.7,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
40,*,10629,149.171.126.17,53727,unknown,tcp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
41,*,10659,149.171.126.16,179,unknown,tcp,FIN,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,*,1067,149.171.126.0,25,smtp,tcp,FIN,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,*,1067,149.171.126.1,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
44,*,10696,149.171.126.7,80,http,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,*,1070,149.171.126.8,53,dns,udp,CON,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]"
46,*,10752,149.171.126.5,6881,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
47,*,1078,149.171.126.18,21,ftp,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,*,10898,149.171.126.7,80,http,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,*,10908,149.171.126.0,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,*,10934,149.171.126.4,80,http,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,*,1094,149.171.126.3,53,dns,udp,CON,"[2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
52,*,1095,149.171.126.14,179,unknown,tcp,FIN,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
53,*,10952,149.171.126.2,53,dns,udp,CON,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
54,*,10967,149.171.126.6,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
55,*,10982,149.171.126.7,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
56,*,11005,149.171.126.1,80,http,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
57,*,1101,149.171.126.8,53,dns,udp,CON,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,*,11034,149.171.126.2,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
59,*,11048,149.171.126.8,5190,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,*,11048,149.171.126.6,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
61,*,1109,149.171.126.3,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
62,*,1110,149.171.126.3,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
63,*,11102,149.171.126.5,53,dns,udp,CON,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
64,*,1111,149.171.126.16,179,unknown,tcp,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,*,11115,149.171.126.6,53,dns,udp,CON,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,*,1120,149.171.126.9,143,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
67,*,11211,149.171.126.3,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,*,11247,149.171.126.7,5190,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,*,1135,149.171.126.2,53,dns,udp,CON,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,*,1135,149.171.126.14,179,unknown,tcp,FIN,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
71,*,11443,149.171.126.4,53,dns,udp,CON,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
72,*,11539,149.171.126.3,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
73,*,11541,149.171.126.16,179,unknown,tcp,FIN,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,*,11570,149.171.126.5,5190,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,*,11578,149.171.126.16,179,unknown,tcp,FIN,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,*,1160,149.171.126.7,53,dns,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
77,*,11616,149.171.126.7,5190,unknown,tcp,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,*,11660,149.171.126.3,80,http,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
79,*,11774,149.171.126.1,6881,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
80,*,1180,149.171.126.7,53,dns,udp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,*,11809,149.171.126.9,53,dns,udp,CON,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,*,1182,149.171.126.2,53,dns,udp,CON,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
83,*,1194,149.171.126.4,53,dns,udp,CON,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
84,*,1201,149.171.126.1,53,dns,udp,CON,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,*,12016,149.171.126.0,53,dns,udp,CON,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,*,12050,149.171.126.3,111,unknown,udp,CON,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
