cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,*,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,*,*,*,"[36, 36, 38, 35, 36, 36, 35, 27, 37, 35, 35, 49, 72]"
2,10.40.182.3,*,*,*,*,*,*,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
3,10.40.182.6,*,*,*,*,*,*,"[60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 122, 60]"
4,10.40.85.1,*,*,*,*,*,*,"[37, 35, 38, 38, 36, 38, 37, 29, 38, 38, 36, 49, 72]"
5,10.40.85.10,*,*,*,*,*,*,"[14, 14, 34, 14, 14, 34, 23, 12, 34, 14, 14, 38, 28]"
6,10.40.85.30,*,*,*,*,*,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
7,149.171.126.10,*,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
8,149.171.126.11,*,*,*,*,*,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
9,149.171.126.12,*,*,*,*,*,*,"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,149.171.126.15,*,*,*,*,*,*,"[8821, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,149.171.126.18,*,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3]"
12,149.171.126.19,*,*,*,*,*,*,"[4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
13,149.171.126.4,*,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
14,175.45.176.0,*,*,*,*,*,*,"[124, 88, 600, 187, 184, 15, 50, 104, 667, 43, 138, 19, 14]"
15,175.45.176.1,*,*,*,*,*,*,"[44, 251, 216, 45, 382, 108, 361, 114, 21, 295, 276, 290, 868]"
16,175.45.176.2,*,*,*,*,*,*,"[551, 120, 108, 203, 97, 369, 423, 70, 619, 36, 365, 587, 196]"
17,175.45.176.3,*,*,*,*,*,*,"[678, 95, 531, 3, 417, 548, 677, 100, 318, 36, 121, 84, 569]"
18,59.166.0.0,*,*,*,*,*,*,"[2785, 2407, 2785, 2718, 2816, 2622, 3059, 2413, 2652, 2707, 2649, 2570, 2783]"
19,59.166.0.1,*,*,*,*,*,*,"[2638, 2676, 2585, 3012, 2787, 2635, 2822, 2311, 2803, 2614, 2691, 2660, 2833]"
20,59.166.0.2,*,*,*,*,*,*,"[2717, 2479, 2610, 2786, 2779, 2475, 2816, 2377, 2744, 2600, 2818, 2750, 2750]"
21,59.166.0.3,*,*,*,*,*,*,"[2555, 2580, 2673, 2773, 2690, 2778, 2927, 2160, 2742, 2483, 2790, 2597, 2850]"
22,59.166.0.4,*,*,*,*,*,*,"[2779, 2648, 2725, 2883, 2686, 2716, 2944, 2202, 2844, 2629, 2648, 2704, 2778]"
23,59.166.0.5,*,*,*,*,*,*,"[2610, 2549, 2557, 2867, 2706, 2462, 3018, 2463, 2843, 2579, 2597, 2448, 3048]"
24,59.166.0.6,*,*,*,*,*,*,"[2735, 2468, 2445, 2557, 2619, 2486, 2823, 2269, 2597, 2418, 2546, 2443, 2707]"
25,59.166.0.7,*,*,*,*,*,*,"[2487, 2395, 2618, 2713, 2542, 2576, 2729, 2290, 2607, 2500, 2631, 2573, 2695]"
26,59.166.0.8,*,*,*,*,*,*,"[2667, 2425, 2589, 2648, 2672, 2555, 2906, 2269, 2496, 2487, 2496, 2500, 2873]"
27,59.166.0.9,*,*,*,*,*,*,"[2568, 2402, 2502, 2782, 2734, 2638, 2776, 2362, 2668, 2510, 2611, 2564, 2559]"
28,149.171.126.13,*,*,*,*,*,*,"[0, 0, 0, 0, 60, 44, 0, 0, 0, 0, 0, 0, 0]"
29,149.171.126.14,*,*,*,*,*,*,"[0, 0, 4, 0, 9451, 15750, 9763, 6048, 0, 4, 30, 14, 0]"
30,149.171.126.7,*,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
31,149.171.126.8,*,*,*,*,*,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
32,149.171.126.17,*,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
33,149.171.126.2,*,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
