cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,*,arp,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,*,arp,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,*,*,*,ospf,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
3,10.40.182.1,*,*,*,*,ospf,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
4,10.40.182.3,*,*,*,*,arp,INT,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
5,10.40.182.6,*,*,*,*,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
6,10.40.182.6,*,*,*,*,arp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
7,10.40.85.1,*,*,*,*,arp,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
8,10.40.85.1,*,*,*,*,ospf,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
9,10.40.85.1,*,*,*,*,ospf,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
10,10.40.85.10,*,*,*,*,arp,CON,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
11,10.40.85.10,*,*,*,*,icmp,ECO,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
12,10.40.85.10,*,*,*,*,udp,INT,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
13,10.40.85.10,*,*,*,*,tcp,REQ,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
14,10.40.85.30,*,*,*,*,arp,CON,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
15,149.171.126.10,*,*,*,*,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
16,149.171.126.11,*,*,*,*,udp,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.11,*,*,*,*,icmp,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
18,149.171.126.15,*,*,*,*,udp,INT,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.18,*,*,*,*,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
20,149.171.126.19,*,*,*,*,tcp,FIN,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,149.171.126.19,*,*,*,*,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
22,175.45.176.0,*,*,*,*,tcp,FIN,"[94, 86, 154, 152, 134, 13, 16, 101, 244, 43, 118, 0, 14]"
23,175.45.176.0,*,*,*,*,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0]"
