cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,*,arp,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,*,arp,*,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,*,*,*,ospf,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
3,10.40.182.3,*,*,*,*,arp,*,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
4,10.40.182.6,*,*,*,*,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
5,10.40.182.6,*,*,*,*,arp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,10.40.85.1,*,*,*,*,arp,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
7,10.40.85.1,*,*,*,*,ospf,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
8,10.40.85.10,*,*,*,*,arp,*,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
9,10.40.85.10,*,*,*,*,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
10,10.40.85.10,*,*,*,*,udp,*,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
11,10.40.85.10,*,*,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
12,10.40.85.30,*,*,*,*,arp,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
13,149.171.126.10,*,*,*,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
14,149.171.126.11,*,*,*,*,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,149.171.126.11,*,*,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
16,149.171.126.15,*,*,*,*,udp,*,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.18,*,*,*,*,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
18,149.171.126.19,*,*,*,*,tcp,*,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.19,*,*,*,*,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
20,175.45.176.0,*,*,*,*,tcp,*,"[94, 86, 154, 153, 135, 13, 17, 102, 431, 43, 119, 0, 14]"
21,175.45.176.0,*,*,*,*,udp,*,"[30, 0, 445, 34, 48, 0, 32, 2, 235, 0, 17, 18, 0]"
22,175.45.176.0,*,*,*,*,icmp,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
23,175.45.176.1,*,*,*,*,icmp,*,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,175.45.176.1,*,*,*,*,tcp,*,"[13, 218, 216, 42, 345, 74, 260, 81, 18, 92, 255, 290, 835]"
25,175.45.176.1,*,*,*,*,udp,*,"[30, 33, 0, 0, 36, 33, 97, 33, 0, 203, 21, 0, 33]"
26,175.45.176.1,*,*,*,*,igmp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0]"
27,175.45.176.2,*,*,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]"
28,175.45.176.2,*,*,*,*,tcp,*,"[490, 119, 59, 6, 73, 367, 423, 69, 618, 0, 346, 555, 140]"
29,175.45.176.2,*,*,*,*,udp,*,"[60, 0, 48, 197, 23, 2, 0, 0, 0, 33, 17, 32, 48]"
30,175.45.176.2,*,*,*,*,igmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
31,175.45.176.3,*,*,*,*,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4]"
32,175.45.176.3,*,*,*,*,igmp,*,"[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,175.45.176.3,*,*,*,*,tcp,*,"[674, 77, 528, 0, 416, 499, 676, 83, 64, 34, 72, 49, 534]"
34,175.45.176.3,*,*,*,*,udp,*,"[0, 17, 0, 2, 0, 48, 0, 17, 253, 0, 49, 29, 31]"
35,59.166.0.0,*,*,*,*,tcp,*,"[1916, 1682, 1971, 1971, 1990, 1871, 2265, 1804, 1849, 1961, 1907, 1830, 1979]"
36,59.166.0.0,*,*,*,*,udp,*,"[869, 725, 814, 747, 826, 751, 794, 609, 803, 746, 742, 740, 804]"
37,59.166.0.1,*,*,*,*,tcp,*,"[1761, 1897, 1821, 2222, 1994, 1889, 2103, 1713, 1996, 1855, 1925, 1921, 2056]"
38,59.166.0.1,*,*,*,*,udp,*,"[877, 779, 764, 790, 793, 746, 719, 598, 807, 759, 766, 739, 777]"
39,59.166.0.2,*,*,*,*,tcp,*,"[1876, 1731, 1861, 2020, 1977, 1803, 2134, 1781, 1951, 1884, 1988, 1998, 1926]"
40,59.166.0.2,*,*,*,*,udp,*,"[841, 748, 749, 766, 802, 672, 682, 596, 793, 716, 830, 752, 824]"
41,59.166.0.3,*,*,*,*,tcp,*,"[1796, 1809, 1882, 2034, 1913, 1983, 2173, 1604, 1924, 1759, 1998, 1831, 2002]"
42,59.166.0.3,*,*,*,*,udp,*,"[759, 771, 791, 739, 777, 795, 754, 556, 818, 724, 792, 766, 848]"
43,59.166.0.4,*,*,*,*,tcp,*,"[1915, 1852, 1928, 2105, 1949, 1980, 2191, 1629, 2005, 1904, 1883, 1967, 2041]"
44,59.166.0.4,*,*,*,*,udp,*,"[864, 796, 797, 778, 737, 736, 753, 573, 839, 725, 765, 737, 737]"
45,59.166.0.5,*,*,*,*,tcp,*,"[1802, 1783, 1812, 2099, 1915, 1772, 2226, 1782, 2037, 1857, 1857, 1778, 2232]"
46,59.166.0.5,*,*,*,*,udp,*,"[808, 766, 745, 768, 791, 690, 792, 681, 806, 722, 740, 670, 816]"
47,59.166.0.6,*,*,*,*,tcp,*,"[1902, 1699, 1719, 1849, 1894, 1787, 2135, 1654, 1866, 1744, 1819, 1720, 1916]"
48,59.166.0.6,*,*,*,*,udp,*,"[833, 769, 726, 708, 725, 699, 688, 615, 731, 674, 727, 723, 791]"
49,59.166.0.7,*,*,*,*,tcp,*,"[1700, 1675, 1844, 1973, 1805, 1856, 2066, 1680, 1835, 1801, 1887, 1857, 1934]"
50,59.166.0.7,*,*,*,*,udp,*,"[787, 720, 774, 740, 737, 720, 663, 610, 772, 699, 744, 716, 761]"
