cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,*,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,unknown,*,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
3,10.40.182.1,*,*,*,unknown,*,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
4,10.40.182.3,*,*,*,unknown,*,INT,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
5,10.40.182.6,*,*,*,unknown,*,INT,"[60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 122, 60]"
6,10.40.85.1,*,*,*,unknown,*,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
7,10.40.85.1,*,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
8,10.40.85.1,*,*,*,unknown,*,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
9,10.40.85.10,*,*,*,unknown,*,CON,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
10,10.40.85.10,*,*,*,unknown,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
11,10.40.85.10,*,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
12,10.40.85.10,*,*,*,dns,*,INT,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
13,10.40.85.30,*,*,*,unknown,*,CON,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
14,149.171.126.10,*,*,*,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
15,149.171.126.11,*,*,*,unknown,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
16,149.171.126.11,*,*,*,dns,*,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.15,*,*,*,dns,*,INT,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.18,*,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
19,149.171.126.19,*,*,*,unknown,*,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.19,*,*,*,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
21,175.45.176.0,*,*,*,unknown,*,FIN,"[94, 83, 134, 152, 125, 13, 16, 100, 233, 42, 102, 0, 14]"
22,175.45.176.0,*,*,*,unknown,*,INT,"[30, 0, 440, 33, 49, 0, 32, 0, 235, 0, 17, 18, 0]"
23,175.45.176.0,*,*,*,unknown,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
24,175.45.176.0,*,*,*,unknown,*,REQ,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,175.45.176.0,*,*,*,unknown,*,CON,"[0, 0, 0, 2, 0, 0, 0, 0, 187, 0, 0, 0, 0]"
26,175.45.176.0,*,*,*,http,*,FIN,"[0, 3, 20, 0, 0, 0, 0, 0, 11, 0, 7, 0, 0]"
27,175.45.176.0,*,*,*,ftp,*,FIN,"[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0]"
28,175.45.176.1,*,*,*,unknown,*,FIN,"[13, 211, 210, 42, 318, 73, 260, 81, 7, 91, 252, 289, 224]"
29,175.45.176.1,*,*,*,unknown,*,INT,"[30, 33, 0, 0, 35, 33, 98, 33, 2, 203, 20, 0, 33]"
30,175.45.176.1,*,*,*,unknown,*,CON,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.1,*,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 610]"
32,175.45.176.1,*,*,*,unknown,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
33,175.45.176.1,*,*,*,http,*,FIN,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,175.45.176.1,*,*,*,ftp,*,FIN,"[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0]"
35,175.45.176.1,*,*,*,ssh,*,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
36,175.45.176.2,*,*,*,http,*,FIN,"[486, 77, 0, 0, 8, 0, 0, 6, 0, 0, 0, 0, 0]"
37,175.45.176.2,*,*,*,unknown,*,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 533, 0]"
38,175.45.176.2,*,*,*,unknown,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
39,175.45.176.2,*,*,*,unknown,*,FIN,"[0, 40, 25, 6, 65, 366, 51, 62, 545, 0, 285, 21, 140]"
40,175.45.176.2,*,*,*,unknown,*,INT,"[60, 0, 49, 197, 23, 0, 0, 0, 0, 33, 18, 32, 54]"
41,175.45.176.2,*,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 0]"
42,175.45.176.2,*,*,*,ftp,*,FIN,"[0, 2, 34, 0, 0, 0, 0, 0, 71, 0, 61, 0, 0]"
43,175.45.176.3,*,*,*,unknown,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
44,175.45.176.3,*,*,*,unknown,*,FIN,"[326, 14, 482, 0, 381, 34, 147, 25, 64, 33, 72, 31, 2]"
45,175.45.176.3,*,*,*,unknown,*,INT,"[3, 17, 2, 2, 0, 48, 0, 17, 254, 2, 49, 29, 31]"
46,175.45.176.3,*,*,*,unknown,*,REQ,"[348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,175.45.176.3,*,*,*,unknown,*,RST,"[0, 60, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0]"
48,175.45.176.3,*,*,*,unknown,*,CON,"[0, 0, 0, 0, 0, 451, 0, 0, 0, 0, 0, 0, 0]"
49,175.45.176.3,*,*,*,unknown,*,TST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
50,175.45.176.3,*,*,*,http,*,FIN,"[0, 0, 0, 0, 0, 13, 528, 0, 0, 0, 0, 18, 532]"
51,175.45.176.3,*,*,*,http,*,RST,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,175.45.176.3,*,*,*,ftp,*,FIN,"[0, 0, 36, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0]"
53,175.45.176.3,*,*,*,ssh,*,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
