cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,unknown,*,*,"[36, 36, 38, 35, 36, 36, 35, 27, 37, 35, 35, 49, 72]"
2,10.40.182.3,*,*,*,unknown,*,*,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
3,10.40.182.6,*,*,*,unknown,*,*,"[60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 122, 60]"
4,10.40.85.1,*,*,*,unknown,*,*,"[37, 35, 38, 38, 36, 38, 37, 29, 38, 38, 36, 49, 72]"
5,10.40.85.10,*,*,*,unknown,*,*,"[14, 14, 14, 14, 14, 14, 18, 12, 14, 14, 14, 18, 28]"
6,10.40.85.10,*,*,*,dns,*,*,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
7,10.40.85.30,*,*,*,unknown,*,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
8,149.171.126.10,*,*,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
9,149.171.126.11,*,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
10,149.171.126.11,*,*,*,dns,*,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,149.171.126.15,*,*,*,dns,*,*,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,149.171.126.18,*,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3]"
13,149.171.126.19,*,*,*,unknown,*,*,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,149.171.126.19,*,*,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
15,149.171.126.4,*,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
16,175.45.176.0,*,*,*,unknown,*,*,"[124, 85, 580, 187, 175, 15, 50, 102, 656, 42, 122, 19, 14]"
17,175.45.176.0,*,*,*,http,*,*,"[0, 3, 20, 0, 0, 0, 0, 0, 11, 0, 7, 0, 0]"
18,175.45.176.0,*,*,*,ftp,*,*,"[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0]"
19,175.45.176.1,*,*,*,unknown,*,*,"[44, 244, 216, 45, 355, 108, 361, 114, 9, 295, 276, 289, 868]"
20,175.45.176.1,*,*,*,http,*,*,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
