cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,arp,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,unknown,arp,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,*,*,unknown,ospf,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
3,10.40.182.1,*,*,*,unknown,ospf,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
4,10.40.182.3,*,*,*,unknown,arp,INT,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
5,10.40.182.6,*,*,*,unknown,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
6,10.40.182.6,*,*,*,unknown,arp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
7,10.40.85.1,*,*,*,unknown,arp,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
8,10.40.85.1,*,*,*,unknown,ospf,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
9,10.40.85.1,*,*,*,unknown,ospf,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
10,10.40.85.10,*,*,*,unknown,arp,CON,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
11,10.40.85.10,*,*,*,unknown,icmp,ECO,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
12,10.40.85.10,*,*,*,unknown,tcp,REQ,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
13,10.40.85.10,*,*,*,dns,udp,INT,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
14,10.40.85.30,*,*,*,unknown,arp,CON,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
15,149.171.126.10,*,*,*,dns,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
16,149.171.126.11,*,*,*,unknown,icmp,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
17,149.171.126.11,*,*,*,dns,udp,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.15,*,*,*,dns,udp,INT,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.18,*,*,*,unknown,tcp,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
20,149.171.126.19,*,*,*,unknown,tcp,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,149.171.126.19,*,*,*,dns,udp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
22,175.45.176.0,*,*,*,unknown,tcp,FIN,"[94, 83, 134, 152, 125, 13, 16, 100, 233, 42, 102, 0, 14]"
23,175.45.176.0,*,*,*,unknown,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0]"
24,175.45.176.0,*,*,*,unknown,udp,INT,"[30, 0, 440, 33, 48, 0, 32, 0, 235, 0, 17, 18, 0]"
25,175.45.176.0,*,*,*,unknown,udp,REQ,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,175.45.176.0,*,*,*,unknown,icmp,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
27,175.45.176.0,*,*,*,http,tcp,FIN,"[0, 3, 20, 0, 0, 0, 0, 0, 11, 0, 7, 0, 0]"
28,175.45.176.0,*,*,*,ftp,tcp,FIN,"[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0]"
29,175.45.176.1,*,*,*,unknown,tcp,FIN,"[13, 211, 210, 42, 318, 73, 260, 81, 7, 91, 252, 289, 224]"
30,175.45.176.1,*,*,*,unknown,tcp,CON,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.1,*,*,*,unknown,tcp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610]"
32,175.45.176.1,*,*,*,unknown,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
33,175.45.176.1,*,*,*,unknown,udp,INT,"[30, 33, 0, 0, 35, 33, 95, 33, 0, 203, 20, 0, 33]"
34,175.45.176.1,*,*,*,unknown,udp,REQ,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
35,175.45.176.1,*,*,*,unknown,igmp,INT,"[0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0]"
36,175.45.176.1,*,*,*,http,tcp,FIN,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,175.45.176.1,*,*,*,ftp,tcp,FIN,"[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0]"
38,175.45.176.1,*,*,*,ssh,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
39,175.45.176.2,*,*,*,http,tcp,FIN,"[486, 77, 0, 0, 8, 0, 0, 6, 0, 0, 0, 0, 0]"
40,175.45.176.2,*,*,*,unknown,icmp,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
41,175.45.176.2,*,*,*,unknown,tcp,CON,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 533, 0]"
42,175.45.176.2,*,*,*,unknown,tcp,FIN,"[0, 40, 25, 6, 65, 366, 51, 62, 545, 0, 285, 21, 140]"
43,175.45.176.2,*,*,*,unknown,tcp,REQ,"[0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 0]"
44,175.45.176.2,*,*,*,unknown,udp,INT,"[60, 0, 48, 197, 23, 0, 0, 0, 0, 33, 17, 32, 48]"
45,175.45.176.2,*,*,*,unknown,igmp,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
46,175.45.176.2,*,*,*,ftp,tcp,FIN,"[0, 2, 34, 0, 0, 0, 0, 0, 71, 0, 61, 0, 0]"
47,175.45.176.3,*,*,*,unknown,icmp,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
