cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,arp,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,*,unknown,arp,*,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,*,*,unknown,ospf,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
3,10.40.182.3,*,*,*,unknown,arp,*,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
4,10.40.182.6,*,*,*,unknown,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
5,10.40.182.6,*,*,*,unknown,arp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,10.40.85.1,*,*,*,unknown,arp,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
7,10.40.85.1,*,*,*,unknown,ospf,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
8,10.40.85.10,*,*,*,unknown,arp,*,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
9,10.40.85.10,*,*,*,unknown,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
10,10.40.85.10,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
11,10.40.85.10,*,*,*,dns,udp,*,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
12,10.40.85.30,*,*,*,unknown,arp,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
13,149.171.126.10,*,*,*,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
14,149.171.126.11,*,*,*,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
15,149.171.126.11,*,*,*,dns,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,149.171.126.15,*,*,*,dns,udp,*,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.18,*,*,*,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
18,149.171.126.19,*,*,*,unknown,tcp,*,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.19,*,*,*,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
20,175.45.176.0,*,*,*,unknown,tcp,*,"[94, 83, 134, 153, 126, 13, 17, 101, 420, 42, 103, 0, 14]"
21,175.45.176.0,*,*,*,unknown,udp,*,"[30, 0, 445, 34, 48, 0, 32, 0, 235, 0, 17, 18, 0]"
22,175.45.176.0,*,*,*,unknown,icmp,*,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
23,175.45.176.0,*,*,*,http,tcp,*,"[0, 3, 20, 0, 0, 0, 0, 0, 11, 0, 7, 0, 0]"
24,175.45.176.0,*,*,*,ftp,tcp,*,"[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0]"
25,175.45.176.1,*,*,*,unknown,icmp,*,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,175.45.176.1,*,*,*,unknown,tcp,*,"[13, 211, 216, 42, 318, 74, 260, 81, 7, 92, 255, 289, 835]"
27,175.45.176.1,*,*,*,unknown,udp,*,"[30, 33, 0, 0, 36, 33, 97, 33, 0, 203, 21, 0, 33]"
28,175.45.176.1,*,*,*,unknown,igmp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0]"
29,175.45.176.1,*,*,*,http,tcp,*,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,175.45.176.1,*,*,*,ftp,tcp,*,"[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.1,*,*,*,ssh,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
32,175.45.176.2,*,*,*,http,tcp,*,"[487, 77, 0, 0, 8, 0, 0, 6, 0, 0, 0, 0, 0]"
33,175.45.176.2,*,*,*,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]"
34,175.45.176.2,*,*,*,unknown,tcp,*,"[3, 40, 25, 6, 65, 367, 423, 62, 547, 0, 285, 555, 140]"
35,175.45.176.2,*,*,*,unknown,udp,*,"[60, 0, 48, 197, 23, 0, 0, 0, 0, 33, 17, 32, 48]"
36,175.45.176.2,*,*,*,unknown,igmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
37,175.45.176.2,*,*,*,ftp,tcp,*,"[0, 2, 34, 0, 0, 0, 0, 0, 71, 0, 61, 0, 0]"
38,175.45.176.3,*,*,*,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4]"
39,175.45.176.3,*,*,*,unknown,igmp,*,"[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,175.45.176.3,*,*,*,unknown,tcp,*,"[674, 74, 482, 0, 381, 485, 148, 82, 64, 33, 72, 31, 2]"
41,175.45.176.3,*,*,*,unknown,udp,*,"[0, 17, 0, 2, 0, 48, 0, 17, 253, 0, 49, 29, 31]"
42,175.45.176.3,*,*,*,http,tcp,*,"[0, 3, 0, 0, 0, 13, 528, 0, 0, 0, 0, 18, 532]"
43,175.45.176.3,*,*,*,ftp,tcp,*,"[0, 0, 36, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0]"
44,175.45.176.3,*,*,*,ssh,tcp,*,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,59.166.0.0,*,*,*,dns,udp,*,"[604, 470, 564, 525, 587, 503, 544, 454, 572, 518, 519, 467, 550]"
46,59.166.0.0,*,*,*,ftp,tcp,*,"[79, 54, 77, 62, 76, 62, 46, 54, 65, 71, 69, 62, 54]"
