cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,0,unknown,arp,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,*,0,unknown,arp,*,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,*,0,unknown,ospf,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
3,10.40.182.3,*,*,0,unknown,arp,*,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
4,10.40.182.6,*,*,138,unknown,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
5,10.40.182.6,*,*,0,unknown,arp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,10.40.85.1,*,*,0,unknown,arp,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
7,10.40.85.1,*,*,0,unknown,ospf,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
8,10.40.85.10,*,*,0,unknown,arp,*,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
9,10.40.85.10,*,*,52233,unknown,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
10,10.40.85.10,*,*,53,dns,udp,*,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
11,10.40.85.10,*,*,3001,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
12,10.40.85.30,*,*,0,unknown,arp,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
13,149.171.126.10,*,*,53,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
14,149.171.126.11,*,*,53,dns,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,149.171.126.11,*,*,48879,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
16,149.171.126.15,*,*,53,dns,udp,*,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.19,*,*,53,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
18,175.45.176.0,*,*,179,unknown,tcp,*,"[43, 61, 126, 152, 84, 0, 0, 92, 150, 0, 28, 0, 0]"
19,175.45.176.0,*,*,520,unknown,udp,*,"[30, 0, 445, 0, 28, 0, 32, 0, 235, 0, 0, 0, 0]"
20,175.45.176.0,*,*,8009,unknown,tcp,*,"[50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,175.45.176.0,*,*,445,unknown,tcp,*,"[0, 22, 0, 0, 0, 0, 14, 7, 65, 0, 0, 0, 7]"
22,175.45.176.0,*,*,48879,unknown,icmp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
23,175.45.176.0,*,*,80,http,tcp,*,"[0, 3, 20, 0, 0, 0, 0, 0, 11, 0, 7, 0, 0]"
24,175.45.176.0,*,*,80,unknown,tcp,*,"[0, 0, 8, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0]"
25,175.45.176.0,*,*,514,unknown,udp,*,"[0, 0, 0, 33, 18, 0, 0, 0, 0, 0, 16, 18, 0]"
26,175.45.176.0,*,*,135,unknown,tcp,*,"[0, 0, 0, 0, 41, 0, 0, 0, 0, 42, 0, 0, 0]"
27,175.45.176.0,*,*,21,ftp,tcp,*,"[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0]"
28,175.45.176.0,*,*,4569,unknown,udp,*,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
29,175.45.176.0,*,*,1723,unknown,tcp,*,"[0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 6]"
30,175.45.176.0,*,*,8089,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0]"
31,175.45.176.0,*,*,3306,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0]"
32,175.45.176.1,*,*,1723,unknown,tcp,*,"[6, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 217]"
33,175.45.176.1,*,*,445,unknown,tcp,*,"[7, 7, 67, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7]"
34,175.45.176.1,*,*,520,unknown,udp,*,"[30, 0, 0, 0, 0, 0, 30, 0, 0, 203, 20, 0, 0]"
35,175.45.176.1,*,*,179,unknown,tcp,*,"[0, 204, 144, 0, 318, 73, 39, 81, 0, 91, 215, 228, 0]"
