cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,10.40.170.2,*,*,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,*,10.40.182.3,*,*,*,*,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,*,224.0.0.5,*,*,*,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
3,10.40.182.3,*,10.40.182.3,*,*,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
4,10.40.182.6,*,10.40.182.255,*,*,*,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
5,10.40.182.6,*,10.40.182.3,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
6,10.40.85.1,*,10.40.85.30,*,*,*,*,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
7,10.40.85.1,*,224.0.0.5,*,*,*,*,"[21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28, 40]"
8,10.40.85.10,*,10.40.85.1,*,*,*,*,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
9,10.40.85.10,*,192.168.241.50,*,*,*,*,"[7, 7, 6, 7, 7, 6, 10, 6, 6, 7, 7, 8, 14]"
10,10.40.85.10,*,10.40.198.10,*,*,*,*,"[0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20, 0]"
11,10.40.85.30,*,10.40.85.1,*,*,*,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
12,149.171.126.10,*,175.45.176.0,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525, 7548]"
13,149.171.126.11,*,175.45.176.1,*,*,*,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,149.171.126.11,*,175.45.176.2,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
15,149.171.126.12,*,175.45.176.1,*,*,*,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,149.171.126.15,*,175.45.176.3,*,*,*,*,"[8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.18,*,175.45.176.0,*,*,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
18,149.171.126.18,*,175.45.176.1,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
19,149.171.126.19,*,175.45.176.2,*,*,*,*,"[4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
20,175.45.176.0,*,149.171.126.12,*,*,*,*,"[0, 0, 231, 101, 0, 0, 7, 0, 0, 0, 0, 0, 0]"
21,175.45.176.0,*,149.171.126.13,*,*,*,*,"[0, 0, 0, 0, 81, 0, 7, 0, 235, 0, 8, 0, 0]"
22,175.45.176.0,*,149.171.126.16,*,*,*,*,"[30, 0, 0, 0, 42, 0, 0, 0, 0, 0, 9, 0, 0]"
23,175.45.176.0,*,149.171.126.19,*,*,*,*,"[92, 3, 28, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0]"
24,175.45.176.0,*,149.171.126.10,*,*,*,*,"[0, 7, 239, 0, 18, 0, 0, 3, 29, 0, 16, 0, 6]"
25,175.45.176.0,*,149.171.126.14,*,*,*,*,"[0, 5, 82, 33, 9, 0, 0, 7, 6, 0, 0, 0, 7]"
26,175.45.176.0,*,149.171.126.15,*,*,*,*,"[0, 0, 0, 26, 5, 0, 32, 92, 144, 0, 28, 0, 0]"
27,175.45.176.0,*,149.171.126.17,*,*,*,*,"[0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0]"
28,175.45.176.0,*,149.171.126.18,*,*,*,*,"[0, 15, 19, 26, 0, 0, 2, 0, 187, 0, 74, 0, 0]"
29,175.45.176.0,*,149.171.126.11,*,*,*,*,"[0, 0, 0, 0, 28, 13, 0, 0, 66, 0, 0, 0, 0]"
30,175.45.176.1,*,149.171.126.11,*,*,*,*,"[6, 0, 0, 0, 28, 0, 97, 33, 0, 0, 0, 0, 0]"
