cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,0,*,*,*,*,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,0,*,*,*,*,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,0,*,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
3,10.40.182.1,0,*,*,*,*,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
4,10.40.182.3,0,*,*,*,*,INT,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
5,10.40.182.6,138,*,*,*,*,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
6,10.40.182.6,0,*,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
7,10.40.85.1,0,*,*,*,*,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
8,10.40.85.1,0,*,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
9,10.40.85.1,0,*,*,*,*,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
10,10.40.85.10,0,*,*,*,*,CON,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
11,10.40.85.10,2048,*,*,*,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
12,10.40.85.10,46811,*,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
13,10.40.85.10,56837,*,*,*,*,REQ,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
14,10.40.85.30,0,*,*,*,*,CON,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
15,149.171.126.10,1043,*,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084, 3672]"
16,149.171.126.10,47439,*,*,*,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4883, 6441, 3876]"
17,149.171.126.11,32820,*,*,*,*,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.11,0,*,*,*,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
19,149.171.126.15,1043,*,*,*,*,INT,"[4508, 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.15,47439,*,*,*,*,INT,"[4312, 4048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,175.45.176.0,6218,*,*,*,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,175.45.176.0,2048,*,*,*,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
23,175.45.176.0,13961,*,*,*,*,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,175.45.176.0,14265,*,*,*,*,FIN,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
