cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,0,*,*,*,*,*,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,0,*,*,*,*,*,"[36, 36, 38, 35, 36, 36, 35, 27, 37, 35, 35, 49, 72]"
2,10.40.182.3,0,*,*,*,*,*,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
3,10.40.182.6,138,*,*,*,*,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
4,10.40.182.6,0,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
5,10.40.85.1,0,*,*,*,*,*,"[37, 35, 37, 37, 35, 37, 37, 29, 37, 37, 36, 48, 72]"
6,10.40.85.10,0,*,*,*,*,*,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
7,10.40.85.10,2048,*,*,*,*,*,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
8,10.40.85.10,46811,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
9,10.40.85.10,56837,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
10,10.40.85.30,0,*,*,*,*,*,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
11,149.171.126.10,1043,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084, 3672]"
12,149.171.126.10,47439,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4883, 6441, 3876]"
13,149.171.126.11,32820,*,*,*,*,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,149.171.126.11,0,*,*,*,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
15,149.171.126.15,1043,*,*,*,*,*,"[4508, 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
