cell_index,source.ip,source.port,destination.ip,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,0,*,*,unknown,*,INT,"[19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26, 38]"
1,10.40.182.1,0,*,*,unknown,*,CON,"[15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21, 32]"
2,10.40.182.1,0,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
3,10.40.182.1,0,*,*,unknown,*,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
4,10.40.182.3,0,*,*,unknown,*,INT,"[19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26, 38]"
5,10.40.182.6,138,*,*,unknown,*,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60]"
6,10.40.182.6,0,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
7,10.40.85.1,0,*,*,unknown,*,CON,"[16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20, 32]"
8,10.40.85.1,0,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
9,10.40.85.1,0,*,*,unknown,*,REQ,"[20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26, 40]"
10,10.40.85.10,0,*,*,unknown,*,CON,"[7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10, 14]"
11,10.40.85.10,2048,*,*,unknown,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8, 14]"
12,10.40.85.10,46811,*,*,dns,*,INT,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
13,10.40.85.10,56837,*,*,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
14,10.40.85.30,0,*,*,unknown,*,CON,"[19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25, 40]"
15,149.171.126.10,1043,*,*,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084, 3672]"
16,149.171.126.10,47439,*,*,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4883, 6441, 3876]"
17,149.171.126.11,32820,*,*,dns,*,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.11,0,*,*,unknown,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
19,149.171.126.15,1043,*,*,dns,*,INT,"[4508, 4209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.15,47439,*,*,dns,*,INT,"[4312, 4048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,175.45.176.0,6218,*,*,unknown,*,FIN,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,175.45.176.0,2048,*,*,unknown,*,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
23,175.45.176.0,13961,*,*,unknown,*,FIN,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,175.45.176.0,14265,*,*,unknown,*,FIN,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,175.45.176.0,23053,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,175.45.176.0,23105,*,*,unknown,*,INT,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,175.45.176.0,23105,*,*,unknown,*,REQ,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,175.45.176.0,23276,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,175.45.176.0,28833,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,175.45.176.0,39086,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,175.45.176.0,41437,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,175.45.176.0,41551,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,175.45.176.0,43297,*,*,unknown,*,INT,"[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,175.45.176.0,43297,*,*,unknown,*,REQ,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,175.45.176.0,43587,*,*,unknown,*,INT,"[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,175.45.176.0,43707,*,*,unknown,*,INT,"[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,175.45.176.0,50771,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,175.45.176.0,64104,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,175.45.176.0,64176,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,175.45.176.0,64492,*,*,unknown,*,INT,"[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,175.45.176.0,64533,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,175.45.176.0,64557,*,*,unknown,*,INT,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,175.45.176.0,64828,*,*,http,*,FIN,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,175.45.176.0,48805,*,*,unknown,*,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
45,175.45.176.0,5060,*,*,unknown,*,INT,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
46,175.45.176.0,63070,*,*,unknown,*,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
47,175.45.176.0,63147,*,*,unknown,*,FIN,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
48,175.45.176.0,48925,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]"
49,175.45.176.0,49668,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]"
50,175.45.176.0,63608,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
51,175.45.176.0,63616,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]"
52,175.45.176.0,17958,*,*,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
53,175.45.176.0,63085,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
54,175.45.176.0,64170,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0]"
55,175.45.176.0,64185,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
56,175.45.176.0,64263,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
57,175.45.176.0,64435,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
58,175.45.176.0,64437,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
59,175.45.176.0,64443,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
60,175.45.176.0,64451,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
61,175.45.176.0,64458,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
62,175.45.176.0,64508,*,*,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
