cell_model_index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score_mean,count_z_score_standard_deviation
0,*,*,*,*,*,*,*,34323.11111111111,6303.5819877703825
1,10.40.170.2,*,*,*,*,*,*,19.333333333333332,2.1343747458109497
2,10.40.182.1,*,*,*,*,*,*,36.166666666666664,3.8333333333333335
3,10.40.182.3,*,*,*,*,*,*,19.666666666666668,2.1081851067789197
4,10.40.182.6,*,*,*,*,*,*,100.38888888888889,28.564038947383725
5,10.40.85.1,*,*,*,*,*,*,37.333333333333336,3.6514837167011076
6,10.40.85.10,*,*,*,*,*,*,21.555555555555557,9.690901931549693
7,10.40.85.30,*,*,*,*,*,*,19.72222222222222,1.7258027296676741
8,149.171.126.14,*,*,*,*,*,*,2281.6111111111113,4567.858897155317
9,175.45.176.0,*,*,*,*,*,*,232.66666666666666,257.787595598478
10,175.45.176.1,*,*,*,*,*,*,197.94444444444446,129.79191561119933
11,175.45.176.2,*,*,*,*,*,*,263.6111111111111,187.16129077731887
12,175.45.176.3,*,*,*,*,*,*,291.3888888888889,237.21957453635625
13,59.166.0.0,*,*,*,*,*,*,2680.6111111111113,150.0655926545637
14,59.166.0.1,*,*,*,*,*,*,2717.5,153.34284390794954
15,59.166.0.2,*,*,*,*,*,*,2696.277777777778,157.47373874732804
16,59.166.0.3,*,*,*,*,*,*,2689.722222222222,193.65198038278058
17,59.166.0.4,*,*,*,*,*,*,2738.4444444444443,175.35304775801498
18,59.166.0.5,*,*,*,*,*,*,2712.8888888888887,246.5526513273447
19,59.166.0.6,*,*,*,*,*,*,2571.0555555555557,178.88713767258776
20,59.166.0.7,*,*,*,*,*,*,2581.722222222222,160.09296103464234
21,59.166.0.8,*,*,*,*,*,*,2548.3888888888887,150.92240054960138
22,59.166.0.9,*,*,*,*,*,*,2637.3333333333335,128.76938904706955
23,*,10.40.170.2,*,*,*,*,*,19.333333333333332,2.1343747458109497
24,*,10.40.182.255,*,*,*,*,*,100.0,28.284271247461902
25,*,10.40.182.3,*,*,*,*,*,35.333333333333336,4.281744192888376
26,*,10.40.198.10,*,*,*,*,*,7.222222222222222,9.258962958222071
27,*,10.40.85.1,*,*,*,*,*,27.166666666666668,2.455153310442706
28,*,10.40.85.30,*,*,*,*,*,16.11111111111111,1.594744454934147
29,*,149.171.126.0,*,*,*,*,*,2687.1666666666665,166.14928026727452
30,*,149.171.126.1,*,*,*,*,*,2725.222222222222,152.81417748201955
31,*,149.171.126.10,*,*,*,*,*,54.44444444444444,79.78458652467643
32,*,149.171.126.11,*,*,*,*,*,122.72222222222223,230.49531341476956
33,*,149.171.126.12,*,*,*,*,*,83.55555555555556,101.2506363339248
34,*,149.171.126.14,*,*,*,*,*,76.55555555555556,89.17163364497469
35,*,149.171.126.15,*,*,*,*,*,103.5,103.34744527294541
36,*,149.171.126.16,*,*,*,*,*,127.38888888888889,215.49842455956454
37,*,149.171.126.17,*,*,*,*,*,53.94444444444444,70.20721094827655
38,*,149.171.126.18,*,*,*,*,*,106.44444444444444,148.51944213253032
39,*,149.171.126.19,*,*,*,*,*,135.66666666666666,194.3747811717239
40,*,149.171.126.2,*,*,*,*,*,2695.277777777778,153.82378285830674
41,*,149.171.126.3,*,*,*,*,*,2716.4444444444443,147.25760581082324
42,*,149.171.126.4,*,*,*,*,*,2702.5555555555557,178.12954780852368
43,*,149.171.126.5,*,*,*,*,*,2692.3333333333335,164.06096427852665
44,*,149.171.126.6,*,*,*,*,*,2629.3333333333335,144.5602527206793
45,*,149.171.126.7,*,*,*,*,*,2590.277777777778,155.49126647698668
46,*,149.171.126.8,*,*,*,*,*,2560.0,172.78728091050118
47,*,149.171.126.9,*,*,*,*,*,2575.3333333333335,164.85144827995902
