index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,*,0,*,arp,CON,[10]
1,*,*,*,0,*,arp,INT,[8.09396654698548]
2,*,*,*,0,*,ospf,INT,[10]
3,*,*,*,0,*,ospf,REQ,[10]
4,*,*,*,111,*,udp,CON,[0]
5,*,*,*,138,*,udp,INT,[0]
6,*,*,*,143,*,tcp,FIN,[1.1313382502180958]
7,*,*,*,1723,*,tcp,FIN,[3.141514864917862]
8,*,*,*,179,*,tcp,FIN,[0]
9,*,*,*,21,*,tcp,FIN,[0.6081939435457259]
10,*,*,*,22,*,tcp,FIN,[0.8049749349391103]
11,*,*,*,25,*,tcp,FIN,[1.842447788913259]
12,*,*,*,445,*,tcp,FIN,[2.850249297787265]
13,*,*,*,48879,*,icmp,ECO,[2.9977507025891135]
14,*,*,*,514,*,udp,INT,[5.3434311580460765]
15,*,*,*,5190,*,tcp,FIN,[0]
16,*,*,*,520,*,udp,INT,[0.15555048640005575]
17,*,*,*,52233,*,icmp,ECO,[10]
18,*,*,*,53,*,udp,CON,[1.3784814777765901]
19,*,*,*,53,*,udp,INT,[1.3580358862035022]
20,*,*,*,6881,*,tcp,FIN,[0.8638667270338353]
21,*,*,*,80,*,tcp,CON,[0]
22,*,*,*,80,*,tcp,FIN,[4.630467242866148]
23,*,*,*,0,*,?,INT,[10]
24,*,*,*,?,*,?,?,[10]
25,*,*,*,?,*,tcp,FIN,[10]
26,*,*,*,?,*,udp,CON,[10]
27,*,*,*,?,*,udp,INT,[10]
28,*,*,*,?,*,tcp,CON,[0]
29,*,*,*,25,*,tcp,?,[4.123105625617661]
30,*,*,*,48879,*,icmp,?,[2.886751345948129]
