index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,*,0,*,unknown,arp,CON,[10]
1,*,*,0,*,unknown,arp,INT,[8.09396654698548]
2,*,*,0,*,unknown,ospf,INT,[10]
3,*,*,0,*,unknown,ospf,REQ,[10]
4,*,*,1043,*,dns,udp,INT,[1.2616330170484307]
5,*,*,138,*,unknown,udp,INT,[0]
6,*,*,2048,*,unknown,icmp,ECO,[7.602409745672353]
7,*,*,47439,*,dns,udp,INT,[1.4579221211714783]
8,*,*,0,*,unknown,?,INT,[10]
9,*,*,?,*,?,?,?,[10]
10,*,*,?,*,unknown,udp,INT,[8.35713206738561]
11,*,*,?,*,dns,udp,INT,[10]
