index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,*,10.40.170.2,0,*,*,*,*,[8.74573066576194]
1,*,10.40.182.255,138,*,*,*,*,[0]
2,*,10.40.182.3,0,*,*,*,*,[8.096389019279838]
3,*,10.40.85.1,0,*,*,*,*,[10]
4,*,10.40.85.30,0,*,*,*,*,[9.963282104370133]
5,*,192.168.241.50,2048,*,*,*,*,[10]
6,*,224.0.0.5,0,*,*,*,*,[9.197795796483641]
7,*,?,?,*,*,*,*,[1.842337021906987]
8,*,?,0,*,*,*,*,[10]
9,*,?,2048,*,*,*,*,[5.249512077248735]
