index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,arp,*,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,arp,*,[8.81087844357011]
2,10.40.182.1,*,*,*,unknown,ospf,*,[9.197795796483641]
3,10.40.182.3,*,*,*,unknown,arp,*,[8.696263565463042]
4,10.40.182.6,*,*,*,unknown,udp,*,[0]
5,10.40.85.1,*,*,*,unknown,arp,*,[9.963282104370133]
6,10.40.85.1,*,*,*,unknown,ospf,*,[9.197795796483641]
7,10.40.85.10,*,*,*,unknown,arp,*,[7.884206636416519]
8,10.40.85.10,*,*,*,unknown,icmp,*,[10]
9,10.40.85.30,*,*,*,unknown,arp,*,[10]
10,175.45.176.0,*,*,*,unknown,tcp,*,[0.17701657215288083]
11,175.45.176.0,*,*,*,unknown,udp,*,[0.05169314218193035]
12,175.45.176.1,*,*,*,unknown,tcp,*,[7.412738199470918]
13,175.45.176.1,*,*,*,unknown,udp,*,[0.9341639800640467]
14,175.45.176.2,*,*,*,unknown,tcp,*,[0.7531545410407927]
15,175.45.176.2,*,*,*,unknown,udp,*,[2.2383357881037664]
16,175.45.176.3,*,*,*,unknown,tcp,*,[0]
17,175.45.176.3,*,*,*,unknown,udp,*,[1.6504184712740586]
18,59.166.0.0,*,*,*,dns,udp,*,[0.6321408313193069]
19,59.166.0.0,*,*,*,ftp,tcp,*,[0]
20,59.166.0.0,*,*,*,http,tcp,*,[1.4810355642662243]
21,59.166.0.0,*,*,*,smtp,tcp,*,[0]
22,59.166.0.0,*,*,*,ssh,tcp,*,[0.4112431850756956]
23,59.166.0.0,*,*,*,unknown,tcp,*,[0.2421371445127529]
24,59.166.0.0,*,*,*,unknown,udp,*,[0.5874669742374874]
25,59.166.0.1,*,*,*,dns,udp,*,[0.22783061052287043]
26,59.166.0.1,*,*,*,ftp,tcp,*,[0.0]
27,59.166.0.1,*,*,*,http,tcp,*,[0.798912222640825]
28,59.166.0.1,*,*,*,smtp,tcp,*,[0.09750213288248535]
29,59.166.0.1,*,*,*,ssh,tcp,*,[1.0392462010488404]
30,59.166.0.1,*,*,*,unknown,tcp,*,[0.47229458789231243]
31,59.166.0.1,*,*,*,unknown,udp,*,[0.13365633500978724]
32,59.166.0.2,*,*,*,dns,udp,*,[0.9890231045377543]
33,59.166.0.2,*,*,*,ftp,tcp,*,[0]
34,59.166.0.2,*,*,*,http,tcp,*,[1.704347267945513]
35,59.166.0.2,*,*,*,smtp,tcp,*,[0]
36,59.166.0.2,*,*,*,ssh,tcp,*,[0.957469962526557]
37,59.166.0.2,*,*,*,unknown,tcp,*,[0]
38,59.166.0.2,*,*,*,unknown,udp,*,[1.2575870892496266]
39,59.166.0.3,*,*,*,dns,udp,*,[1.6267217326442165]
40,59.166.0.3,*,*,*,ftp,tcp,*,[1.878475309682589]
41,59.166.0.3,*,*,*,http,tcp,*,[1.8959960152333137]
42,59.166.0.3,*,*,*,smtp,tcp,*,[1.2144114522018317]
43,59.166.0.3,*,*,*,ssh,tcp,*,[1.192082965734244]
44,59.166.0.3,*,*,*,unknown,tcp,*,[0]
45,59.166.0.3,*,*,*,unknown,udp,*,[0.5016994062602195]
46,59.166.0.4,*,*,*,dns,udp,*,[0.0028167896554732695]
47,59.166.0.4,*,*,*,ftp,tcp,*,[0]
48,59.166.0.4,*,*,*,http,tcp,*,[0.6916457815458453]
49,59.166.0.4,*,*,*,smtp,tcp,*,[0]
50,59.166.0.4,*,*,*,ssh,tcp,*,[0.7610556441446287]
51,59.166.0.4,*,*,*,unknown,tcp,*,[0.4801902279246784]
52,59.166.0.4,*,*,*,unknown,udp,*,[0]
53,59.166.0.5,*,*,*,dns,udp,*,[1.7938386594362987]
54,59.166.0.5,*,*,*,ftp,tcp,*,[0.07715167498104568]
55,59.166.0.5,*,*,*,http,tcp,*,[1.9251784153452236]
56,59.166.0.5,*,*,*,smtp,tcp,*,[0.6457920030768874]
57,59.166.0.5,*,*,*,ssh,tcp,*,[1.0625592962581036]
58,59.166.0.5,*,*,*,unknown,tcp,*,[0.9830105946588531]
59,59.166.0.5,*,*,*,unknown,udp,*,[0]
60,59.166.0.6,*,*,*,dns,udp,*,[2.3274988365589757]
61,59.166.0.6,*,*,*,ftp,tcp,*,[0.1952627673695925]
62,59.166.0.6,*,*,*,http,tcp,*,[1.5777723819113085]
63,59.166.0.6,*,*,*,smtp,tcp,*,[2.4789475427261456]
64,59.166.0.6,*,*,*,ssh,tcp,*,[0]
65,59.166.0.6,*,*,*,unknown,tcp,*,[0.10139026920733883]
66,59.166.0.6,*,*,*,unknown,udp,*,[0]
67,59.166.0.7,*,*,*,dns,udp,*,[0.3393698962332971]
68,59.166.0.7,*,*,*,ftp,tcp,*,[0.969635410432917]
69,59.166.0.7,*,*,*,http,tcp,*,[0.4433915945885023]
70,59.166.0.7,*,*,*,smtp,tcp,*,[0]
71,59.166.0.7,*,*,*,ssh,tcp,*,[0.8871683400080876]
72,59.166.0.7,*,*,*,unknown,tcp,*,[0.3821739106971568]
73,59.166.0.7,*,*,*,unknown,udp,*,[0.8797079579460875]
74,59.166.0.8,*,*,*,dns,udp,*,[3.2663633495503945]
75,59.166.0.8,*,*,*,ftp,tcp,*,[0.6695183867003729]
76,59.166.0.8,*,*,*,http,tcp,*,[2.433722638507401]
77,59.166.0.8,*,*,*,smtp,tcp,*,[2.8018652897304697]
78,59.166.0.8,*,*,*,ssh,tcp,*,[0.8327204234041922]
79,59.166.0.8,*,*,*,unknown,tcp,*,[0.8339900712026572]
80,59.166.0.8,*,*,*,unknown,udp,*,[0.5327522113067685]
81,59.166.0.9,*,*,*,dns,udp,*,[0.24656448378672102]
82,59.166.0.9,*,*,*,ftp,tcp,*,[0]
83,59.166.0.9,*,*,*,http,tcp,*,[0.855384443290771]
84,59.166.0.9,*,*,*,smtp,tcp,*,[0]
85,59.166.0.9,*,*,*,ssh,tcp,*,[0.7775419143502351]
86,59.166.0.9,*,*,*,unknown,tcp,*,[0]
87,59.166.0.9,*,*,*,unknown,udp,*,[0]
88,?,*,*,*,dns,udp,*,[1.368861575956259]
89,?,*,*,*,unknown,icmp,*,[2.883672662151582]
90,?,*,*,*,unknown,tcp,*,[1.9445436482630059]
91,?,*,*,*,http,tcp,*,[5.021501095331335]
92,175.45.176.0,*,*,*,?,udp,*,[10]
93,?,*,*,*,ftp,tcp,*,[5.677376276878069]
94,175.45.176.0,*,*,*,?,tcp,*,[7.438015961120794]
95,175.45.176.0,*,*,*,unknown,?,*,[10]
96,175.45.176.1,*,*,*,?,udp,*,[10]
97,175.45.176.1,*,*,*,?,tcp,*,[9.409482047109444]
98,175.45.176.1,*,*,*,unknown,?,*,[10]
99,175.45.176.2,*,*,*,?,tcp,*,[1.1692716898663833]
100,175.45.176.2,*,*,*,?,udp,*,[9.192388155425117]
101,175.45.176.2,*,*,*,unknown,?,*,[10]
102,175.45.176.3,*,*,*,?,tcp,*,[4.216971094580848]
103,175.45.176.3,*,*,*,unknown,?,*,[10]
