index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,0,unknown,*,*,[8.74573066576194]
1,10.40.182.1,*,*,0,unknown,*,*,[9.347826086956522]
2,10.40.182.3,*,*,0,unknown,*,*,[8.696263565463042]
3,10.40.182.6,*,*,138,unknown,*,*,[0]
4,10.40.85.1,*,*,0,unknown,*,*,[9.493857663422878]
5,10.40.85.10,*,*,0,unknown,*,*,[7.884206636416519]
6,10.40.85.10,*,*,52233,unknown,*,*,[10]
7,10.40.85.30,*,*,0,unknown,*,*,[10]
8,175.45.176.0,*,*,179,unknown,*,*,[0]
9,175.45.176.1,*,*,514,unknown,*,*,[3.463987725220212]
10,175.45.176.2,*,*,179,unknown,*,*,[0.6192209809839553]
11,175.45.176.2,*,*,445,unknown,*,*,[0]
12,175.45.176.2,*,*,514,unknown,*,*,[3.4221348928438484]
13,175.45.176.3,*,*,179,unknown,*,*,[0]
14,175.45.176.3,*,*,445,unknown,*,*,[0]
15,59.166.0.0,*,*,111,unknown,*,*,[0.691397364133255]
16,59.166.0.0,*,*,143,unknown,*,*,[0.8684468707865175]
17,59.166.0.0,*,*,21,ftp,*,*,[0]
18,59.166.0.0,*,*,22,ssh,*,*,[0.4112431850756956]
19,59.166.0.0,*,*,25,smtp,*,*,[0]
20,59.166.0.0,*,*,5190,unknown,*,*,[0]
21,59.166.0.0,*,*,53,dns,*,*,[0.6323578223700084]
22,59.166.0.0,*,*,6881,unknown,*,*,[0.8129736352278212]
23,59.166.0.0,*,*,80,http,*,*,[1.4810355642662243]
24,59.166.0.1,*,*,111,unknown,*,*,[0.10947611030079427]
25,59.166.0.1,*,*,143,unknown,*,*,[0]
26,59.166.0.1,*,*,21,ftp,*,*,[0.0]
27,59.166.0.1,*,*,22,ssh,*,*,[1.0392462010488404]
28,59.166.0.1,*,*,25,smtp,*,*,[0.09750213288248535]
29,59.166.0.1,*,*,5190,unknown,*,*,[0]
30,59.166.0.1,*,*,53,dns,*,*,[0.22783061052287043]
31,59.166.0.1,*,*,6881,unknown,*,*,[0.8783898365348428]
32,59.166.0.1,*,*,80,http,*,*,[0.798912222640825]
33,59.166.0.2,*,*,111,unknown,*,*,[1.2283646776998947]
34,59.166.0.2,*,*,143,unknown,*,*,[0.9766121489812175]
35,59.166.0.2,*,*,21,ftp,*,*,[0]
36,59.166.0.2,*,*,22,ssh,*,*,[0.957469962526557]
37,59.166.0.2,*,*,25,smtp,*,*,[0]
38,59.166.0.2,*,*,5190,unknown,*,*,[0]
39,59.166.0.2,*,*,53,dns,*,*,[0.9890231045377543]
40,59.166.0.2,*,*,6881,unknown,*,*,[0.609013670090809]
41,59.166.0.2,*,*,80,http,*,*,[1.704347267945513]
42,59.166.0.3,*,*,111,unknown,*,*,[0.49870745152152934]
43,59.166.0.3,*,*,143,unknown,*,*,[0]
44,59.166.0.3,*,*,21,ftp,*,*,[1.878475309682589]
45,59.166.0.3,*,*,22,ssh,*,*,[1.192082965734244]
46,59.166.0.3,*,*,25,smtp,*,*,[1.2144114522018317]
47,59.166.0.3,*,*,5190,unknown,*,*,[0]
48,59.166.0.3,*,*,53,dns,*,*,[1.6267217326442165]
49,59.166.0.3,*,*,6881,unknown,*,*,[0.1287876579587506]
50,59.166.0.3,*,*,80,http,*,*,[1.8959960152333137]
51,59.166.0.4,*,*,111,unknown,*,*,[0]
52,59.166.0.4,*,*,143,unknown,*,*,[0]
53,59.166.0.4,*,*,21,ftp,*,*,[0]
54,59.166.0.4,*,*,22,ssh,*,*,[0.7610556441446287]
55,59.166.0.4,*,*,25,smtp,*,*,[0]
56,59.166.0.4,*,*,5190,unknown,*,*,[0]
