index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,0,*,*,*,*,[8.74573066576194]
1,10.40.182.1,*,0,*,*,*,*,[9.347826086956522]
2,10.40.182.3,*,0,*,*,*,*,[8.696263565463042]
3,10.40.182.6,*,138,*,*,*,*,[0]
4,10.40.85.1,*,0,*,*,*,*,[10]
5,10.40.85.10,*,0,*,*,*,*,[7.884206636416519]
6,10.40.85.10,*,2048,*,*,*,*,[10]
7,10.40.85.30,*,0,*,*,*,*,[10]
8,?,*,?,*,*,*,*,[1.8442567173355005]
9,?,*,0,*,*,*,*,[10]
10,?,*,2048,*,*,*,*,[5.249512077248735]
