index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,0,*,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,*,0,*,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,*,0,*,unknown,*,REQ,[10]
3,10.40.182.3,*,0,*,unknown,*,INT,[8.696263565463042]
4,10.40.182.6,*,138,*,unknown,*,INT,[0]
5,10.40.85.1,*,0,*,unknown,*,CON,[9.963282104370133]
6,10.40.85.1,*,0,*,unknown,*,REQ,[10]
7,10.40.85.10,*,0,*,unknown,*,CON,[7.884206636416519]
8,10.40.85.10,*,2048,*,unknown,*,ECO,[10]
9,10.40.85.30,*,0,*,unknown,*,CON,[10]
10,?,*,?,*,?,*,?,[6.554418915620095]
11,?,*,0,*,unknown,*,INT,[10]
12,?,*,2048,*,unknown,*,ECO,[5.108603144398332]
