index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,*,arp,INT,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,*,arp,CON,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,*,ospf,REQ,[10]
3,10.40.182.3,10.40.182.3,*,*,*,arp,INT,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,*,udp,INT,[0]
5,10.40.85.1,10.40.85.30,*,*,*,arp,CON,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,*,ospf,REQ,[10]
7,10.40.85.10,10.40.85.1,*,*,*,arp,CON,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,*,icmp,ECO,[10]
9,10.40.85.30,10.40.85.1,*,*,*,arp,CON,[10]
10,175.45.176.0,149.171.126.15,*,*,*,tcp,FIN,[0.03859028164702633]
11,175.45.176.3,149.171.126.19,*,*,*,tcp,FIN,[0]
12,59.166.0.0,149.171.126.0,*,*,*,tcp,FIN,[0]
13,59.166.0.0,149.171.126.0,*,*,*,udp,CON,[0.4048204523763685]
14,59.166.0.0,149.171.126.1,*,*,*,tcp,FIN,[0]
15,59.166.0.0,149.171.126.1,*,*,*,udp,CON,[0.8018233895294138]
16,59.166.0.0,149.171.126.2,*,*,*,tcp,FIN,[1.36524976704152]
17,59.166.0.0,149.171.126.2,*,*,*,udp,CON,[0]
18,59.166.0.0,149.171.126.3,*,*,*,tcp,FIN,[0.6030742843246336]
19,59.166.0.0,149.171.126.3,*,*,*,udp,CON,[1.6234966351077196]
20,59.166.0.0,149.171.126.4,*,*,*,tcp,FIN,[0.3248955009486544]
21,59.166.0.0,149.171.126.4,*,*,*,udp,CON,[0]
22,59.166.0.0,149.171.126.5,*,*,*,tcp,FIN,[0.4088410194115874]
23,59.166.0.0,149.171.126.5,*,*,*,udp,CON,[0.7282840681945351]
24,59.166.0.0,149.171.126.6,*,*,*,tcp,FIN,[0]
25,59.166.0.0,149.171.126.6,*,*,*,udp,CON,[0.5443970280213486]
