index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,*,unknown,*,*,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,*,unknown,*,*,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,*,unknown,*,*,[9.197795796483641]
3,10.40.182.3,10.40.182.3,*,*,unknown,*,*,[8.74573066576194]
4,10.40.182.6,10.40.182.255,*,*,unknown,*,*,[0]
5,10.40.85.1,10.40.85.30,*,*,unknown,*,*,[9.963282104370133]
6,10.40.85.1,224.0.0.5,*,*,unknown,*,*,[9.197795796483641]
7,10.40.85.10,10.40.85.1,*,*,unknown,*,*,[7.884206636416519]
8,10.40.85.10,192.168.241.50,*,*,unknown,*,*,[7.595402612440662]
9,10.40.85.30,10.40.85.1,*,*,unknown,*,*,[10]
10,175.45.176.0,149.171.126.10,*,*,unknown,*,*,[0.5007446873577308]
11,175.45.176.0,149.171.126.14,*,*,unknown,*,*,[2.9012595548661593]
12,175.45.176.0,149.171.126.15,*,*,unknown,*,*,[0]
13,175.45.176.2,149.171.126.14,*,*,unknown,*,*,[7.891100260745164]
14,175.45.176.3,149.171.126.19,*,*,unknown,*,*,[0.6403933423679935]
15,59.166.0.0,149.171.126.0,*,*,dns,*,*,[1.0547198028072964]
16,59.166.0.0,149.171.126.0,*,*,ftp,*,*,[0]
17,59.166.0.0,149.171.126.0,*,*,http,*,*,[0.1574724447330468]
18,59.166.0.0,149.171.126.0,*,*,smtp,*,*,[0.4045199174779453]
19,59.166.0.0,149.171.126.0,*,*,ssh,*,*,[0]
20,59.166.0.0,149.171.126.0,*,*,unknown,*,*,[0]
21,59.166.0.0,149.171.126.1,*,*,dns,*,*,[1.2690226708834125]
22,59.166.0.0,149.171.126.1,*,*,ftp,*,*,[0]
23,59.166.0.0,149.171.126.1,*,*,http,*,*,[0.3968404300076805]
24,59.166.0.0,149.171.126.1,*,*,smtp,*,*,[0]
25,59.166.0.0,149.171.126.1,*,*,ssh,*,*,[1.3793243482539603]
26,59.166.0.0,149.171.126.1,*,*,unknown,*,*,[0]
27,59.166.0.0,149.171.126.2,*,*,dns,*,*,[0]
28,59.166.0.0,149.171.126.2,*,*,ftp,*,*,[0.26423686239063476]
29,59.166.0.0,149.171.126.2,*,*,http,*,*,[0.6870254211258009]
30,59.166.0.0,149.171.126.2,*,*,smtp,*,*,[0]
31,59.166.0.0,149.171.126.2,*,*,ssh,*,*,[0.03826393658966891]
32,59.166.0.0,149.171.126.2,*,*,unknown,*,*,[1.2160515890143528]
33,59.166.0.0,149.171.126.3,*,*,dns,*,*,[0.8706649707489091]
34,59.166.0.0,149.171.126.3,*,*,ftp,*,*,[0.08421519210665206]
35,59.166.0.0,149.171.126.3,*,*,http,*,*,[1.0646134249033077]
36,59.166.0.0,149.171.126.3,*,*,smtp,*,*,[0.04120428217151631]
37,59.166.0.0,149.171.126.3,*,*,ssh,*,*,[0.47118823056593123]
38,59.166.0.0,149.171.126.3,*,*,unknown,*,*,[0.7911714234227366]
39,59.166.0.0,149.171.126.4,*,*,dns,*,*,[0.02621108168294316]
40,59.166.0.0,149.171.126.4,*,*,ftp,*,*,[1.0]
41,59.166.0.0,149.171.126.4,*,*,http,*,*,[2.3220508079478654]
42,59.166.0.0,149.171.126.4,*,*,smtp,*,*,[0.06398566881509817]
43,59.166.0.0,149.171.126.4,*,*,ssh,*,*,[3.790800145860548]
44,59.166.0.0,149.171.126.4,*,*,unknown,*,*,[0]
45,59.166.0.0,149.171.126.5,*,*,dns,*,*,[0]
46,59.166.0.0,149.171.126.5,*,*,ftp,*,*,[0.6115928396627265]
47,59.166.0.0,149.171.126.5,*,*,http,*,*,[0.6307422400574926]
48,59.166.0.0,149.171.126.5,*,*,smtp,*,*,[0]
49,59.166.0.0,149.171.126.5,*,*,ssh,*,*,[0.16816819849907808]
50,59.166.0.0,149.171.126.5,*,*,unknown,*,*,[0.5701587872470923]
51,59.166.0.0,149.171.126.6,*,*,dns,*,*,[0.013409838653121875]
52,59.166.0.0,149.171.126.6,*,*,ftp,*,*,[0]
53,59.166.0.0,149.171.126.6,*,*,http,*,*,[0]
54,59.166.0.0,149.171.126.6,*,*,smtp,*,*,[0]
55,59.166.0.0,149.171.126.6,*,*,ssh,*,*,[0]
56,59.166.0.0,149.171.126.6,*,*,unknown,*,*,[0]
57,59.166.0.0,149.171.126.7,*,*,dns,*,*,[0]
58,59.166.0.0,149.171.126.7,*,*,ftp,*,*,[0]
59,59.166.0.0,149.171.126.7,*,*,http,*,*,[0]
60,59.166.0.0,149.171.126.7,*,*,smtp,*,*,[0]
61,59.166.0.0,149.171.126.7,*,*,ssh,*,*,[0]
62,59.166.0.0,149.171.126.7,*,*,unknown,*,*,[1.6085658666841742]
63,59.166.0.0,149.171.126.8,*,*,dns,*,*,[1.0738171907532084]
64,59.166.0.0,149.171.126.8,*,*,ftp,*,*,[0]
65,59.166.0.0,149.171.126.8,*,*,http,*,*,[0.5217491947499506]
66,59.166.0.0,149.171.126.8,*,*,smtp,*,*,[0.44653065247664764]
67,59.166.0.0,149.171.126.8,*,*,ssh,*,*,[0]
68,59.166.0.0,149.171.126.8,*,*,unknown,*,*,[1.363614721680346]
69,59.166.0.0,149.171.126.9,*,*,dns,*,*,[0]
70,59.166.0.0,149.171.126.9,*,*,ftp,*,*,[0.18160817807303695]
71,59.166.0.0,149.171.126.9,*,*,http,*,*,[2.389341343906405]
72,59.166.0.0,149.171.126.9,*,*,smtp,*,*,[0.9150793638884733]
73,59.166.0.0,149.171.126.9,*,*,ssh,*,*,[0.014535559317825315]
74,59.166.0.0,149.171.126.9,*,*,unknown,*,*,[0]
75,59.166.0.1,149.171.126.0,*,*,dns,*,*,[1.1708863276872163]
76,59.166.0.1,149.171.126.0,*,*,ftp,*,*,[0.30927685641354313]
77,59.166.0.1,149.171.126.0,*,*,http,*,*,[0]
78,59.166.0.1,149.171.126.0,*,*,smtp,*,*,[1.7418467616245734]
79,59.166.0.1,149.171.126.0,*,*,ssh,*,*,[1.6025399127347053]
80,59.166.0.1,149.171.126.0,*,*,unknown,*,*,[0.6911564727791846]
81,59.166.0.1,149.171.126.1,*,*,dns,*,*,[1.4404107747917019]
82,59.166.0.1,149.171.126.1,*,*,ftp,*,*,[0.28490144114909477]
83,59.166.0.1,149.171.126.1,*,*,http,*,*,[2.4735963798824567]
84,59.166.0.1,149.171.126.1,*,*,smtp,*,*,[0]
85,59.166.0.1,149.171.126.1,*,*,ssh,*,*,[0.28552280506885347]
