index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,*,*,*,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,*,*,*,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,*,*,*,unknown,*,REQ,[10]
3,10.40.182.3,*,*,*,unknown,*,INT,[8.696263565463042]
4,10.40.85.1,*,*,*,unknown,*,CON,[9.963282104370133]
5,10.40.85.1,*,*,*,unknown,*,REQ,[10]
6,10.40.85.10,*,*,*,unknown,*,ECO,[10]
7,10.40.85.30,*,*,*,unknown,*,CON,[10]
8,?,*,*,*,?,*,?,[10]
9,?,*,*,*,dns,*,CON,[8.488746876271653]
10,175.45.176.0,*,*,*,?,*,INT,[10]
11,175.45.176.1,*,*,*,?,*,INT,[10]
12,175.45.176.1,*,*,*,?,*,FIN,[9.378214562916243]
13,175.45.176.1,*,*,*,unknown,*,?,[10]
14,175.45.176.2,*,*,*,?,*,INT,[9.192388155425117]
