index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score
0,10.40.170.2,10.40.170.2,*,0,unknown,*,INT,[8.74573066576194]
1,10.40.182.1,10.40.182.3,*,0,unknown,*,CON,[8.81087844357011]
2,10.40.182.1,224.0.0.5,*,0,unknown,*,REQ,[10]
3,10.40.182.3,10.40.182.3,*,0,unknown,*,INT,[8.74573066576194]
4,10.40.85.1,10.40.85.30,*,0,unknown,*,CON,[9.963282104370133]
5,10.40.85.1,224.0.0.5,*,0,unknown,*,REQ,[10]
6,10.40.85.10,192.168.241.50,*,52233,unknown,*,ECO,[10]
7,10.40.85.30,10.40.85.1,*,0,unknown,*,CON,[10]
8,59.166.0.0,149.171.126.0,*,?,unknown,*,FIN,[9.376971589678007]
9,59.166.0.0,149.171.126.1,*,?,unknown,*,CON,[10]
10,59.166.0.0,149.171.126.2,*,?,unknown,*,CON,[10]
11,59.166.0.0,149.171.126.2,*,?,unknown,*,FIN,[10]
12,59.166.0.0,149.171.126.3,*,?,unknown,*,FIN,[10]
13,59.166.0.0,149.171.126.3,*,?,unknown,*,CON,[10]
14,59.166.0.0,149.171.126.4,*,?,unknown,*,CON,[10]
15,59.166.0.0,149.171.126.5,*,?,unknown,*,FIN,[9.350100315920038]
16,59.166.0.0,149.171.126.5,*,?,unknown,*,CON,[10]
17,59.166.0.0,149.171.126.6,*,?,unknown,*,FIN,[9.55511498851865]
18,59.166.0.0,149.171.126.7,*,?,unknown,*,FIN,[10]
19,59.166.0.0,149.171.126.8,*,?,unknown,*,FIN,[10]
20,59.166.0.0,149.171.126.9,*,?,unknown,*,FIN,[9.830806866563094]
21,59.166.0.1,149.171.126.0,*,?,unknown,*,FIN,[10]
22,59.166.0.1,149.171.126.0,*,?,unknown,*,CON,[10]
23,59.166.0.1,149.171.126.1,*,?,unknown,*,FIN,[10]
24,59.166.0.1,149.171.126.2,*,?,unknown,*,CON,[10]
25,59.166.0.1,149.171.126.3,*,?,unknown,*,FIN,[10]
26,59.166.0.1,149.171.126.3,*,?,unknown,*,CON,[10]
27,59.166.0.1,149.171.126.4,*,?,unknown,*,FIN,[10]
28,59.166.0.1,149.171.126.5,*,?,unknown,*,FIN,[9.258451683877267]
29,59.166.0.1,149.171.126.6,*,?,unknown,*,FIN,[10]
