index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,*,*,*,dns,udp,*,"[11623, 7124, 5449, 5305, 14487, 24329, 14470, 13413, 5359, 5241, 14804, 20744, 14907, 10367, 5465, 4916, 14899, 17513]"
1,*,*,*,*,ftp,tcp,*,"[624, 517, 704, 596, 720, 652, 676, 579, 752, 650, 720, 569, 518, 475, 727, 631, 696, 588]"
2,*,*,*,*,http,tcp,*,"[3115, 2687, 2785, 2719, 2663, 3165, 3434, 2757, 2698, 2813, 2770, 2641, 3403, 2507, 2876, 2424, 2746, 2568]"
3,*,*,*,*,smtp,tcp,*,"[1062, 1035, 1240, 1176, 1206, 1110, 1258, 1145, 1185, 1087, 1167, 1097, 1049, 807, 1159, 1100, 1164, 1109]"
4,*,*,*,*,ssh,tcp,*,"[813, 896, 530, 701, 489, 416, 414, 605, 706, 1163, 872, 778, 313, 187, 453, 644, 714, 858]"
5,*,*,*,*,unknown,arp,*,"[97, 99, 95, 98, 98, 96, 95, 99, 102, 98, 95, 99, 96, 74, 103, 96, 99, 130]"
6,*,*,*,*,unknown,icmp,*,"[13, 10, 9, 10, 11, 11, 11, 10, 9, 10, 11, 11, 11, 7, 9, 10, 10, 16]"
7,*,*,*,*,unknown,igmp,*,"[3, 0, 3, 1, 1, 0, 3, 0, 3, 1, 1, 0, 3, 0, 3, 1, 1, 0]"
8,*,*,*,*,unknown,ospf,*,"[42, 40, 40, 42, 40, 40, 42, 40, 42, 40, 42, 40, 42, 32, 40, 40, 40, 56]"
9,*,*,*,*,unknown,tcp,*,"[14438, 15737, 14376, 14117, 14321, 17707, 13783, 12926, 14057, 14742, 14689, 14505, 17639, 13431, 15059, 13714, 14355, 14288]"
10,*,*,*,*,unknown,udp,*,"[2489, 2327, 3123, 2735, 2619, 2592, 2787, 2533, 2929, 2542, 2718, 2579, 2333, 1903, 3021, 2569, 2572, 2543]"
11,*,*,*,*,unknown,rtp,*,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
12,*,*,*,*,radius,udp,*,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0]"
