index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,*,10.40.170.2,*,*,*,arp,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,*,10.40.182.255,*,*,*,udp,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
2,*,10.40.182.3,*,*,*,arp,CON,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
3,*,10.40.182.3,*,*,*,arp,INT,"[18, 20, 19, 19, 20, 19, 19, 20, 21, 20, 19, 20, 19, 14, 21, 19, 20, 28]"
4,*,10.40.198.10,*,*,*,udp,INT,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
5,*,10.40.85.1,*,*,*,arp,CON,"[27, 27, 28, 27, 26, 28, 26, 27, 28, 26, 27, 27, 28, 21, 28, 26, 27, 35]"
6,*,10.40.85.30,*,*,*,arp,CON,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,*,149.171.126.0,*,*,*,tcp,CON,"[2, 0, 0, 14, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2]"
8,*,149.171.126.0,*,*,*,tcp,FIN,"[1880, 2069, 1788, 1945, 1847, 2226, 1844, 1776, 1836, 1944, 1980, 1866, 2270, 1730, 1962, 1859, 1908, 1867]"
9,*,149.171.126.0,*,*,*,udp,CON,"[734, 727, 782, 828, 797, 828, 915, 770, 729, 733, 742, 722, 743, 585, 825, 759, 796, 734]"
10,*,149.171.126.1,*,*,*,tcp,FIN,"[1899, 1967, 1878, 1909, 1940, 2317, 1787, 1802, 1877, 2063, 1952, 1950, 2194, 1820, 1910, 2030, 1974, 1929]"
11,*,149.171.126.1,*,*,*,tcp,CON,"[0, 11, 1, 3, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 2, 4]"
12,*,149.171.126.1,*,*,*,udp,CON,"[720, 719, 813, 764, 765, 886, 808, 776, 825, 741, 798, 810, 717, 624, 836, 763, 763, 701]"
13,*,149.171.126.10,*,*,*,icmp,ECO,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,*,149.171.126.10,*,*,*,udp,INT,"[53, 13, 0, 1, 68, 0, 0, 0, 209, 0, 35, 0, 0, 0, 0, 203, 36, 0]"
15,*,149.171.126.10,*,*,*,udp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,*,149.171.126.10,*,*,*,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
17,*,149.171.126.10,*,*,*,tcp,FIN,"[0, 12, 3, 67, 46, 0, 0, 7, 87, 0, 18, 0, 0, 8, 30, 1, 64, 7]"
18,*,149.171.126.10,*,*,*,tcp,CON,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
19,*,149.171.126.10,*,*,*,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
20,*,149.171.126.11,*,*,*,tcp,CON,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
21,*,149.171.126.11,*,*,*,tcp,FIN,"[571, 14, 19, 7, 0, 19, 6, 0, 0, 0, 120, 14, 0, 0, 578, 0, 43, 26]"
22,*,149.171.126.11,*,*,*,tcp,REQ,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0]"
23,*,149.171.126.11,*,*,*,tcp,ACC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
24,*,149.171.126.11,*,*,*,udp,INT,"[31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 95, 50, 202, 0, 0, 1]"
25,*,149.171.126.11,*,*,*,udp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
26,*,149.171.126.11,*,*,*,icmp,ECO,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
27,*,149.171.126.12,*,*,*,udp,INT,"[2, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
28,*,149.171.126.12,*,*,*,tcp,FIN,"[0, 1, 7, 0, 114, 212, 8, 14, 4, 101, 260, 0, 223, 6, 0, 0, 252, 0]"
29,*,149.171.126.12,*,*,*,tcp,RST,"[0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
30,*,149.171.126.12,*,*,*,tcp,ACC,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,*,149.171.126.12,*,*,*,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,*,149.171.126.12,*,*,*,icmp,ECO,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
33,*,149.171.126.12,*,*,*,icmp,URN,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,*,149.171.126.12,*,*,*,icmp,no,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,*,149.171.126.14,*,*,*,icmp,ECO,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,*,149.171.126.14,*,*,*,icmp,PAR,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,*,149.171.126.14,*,*,*,tcp,CON,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
38,*,149.171.126.14,*,*,*,tcp,FIN,"[3, 66, 60, 118, 0, 0, 213, 13, 88, 6, 218, 32, 102, 88, 7, 0, 0, 1]"
39,*,149.171.126.14,*,*,*,tcp,REQ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,*,149.171.126.14,*,*,*,tcp,RST,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1]"
41,*,149.171.126.14,*,*,*,udp,INT,"[0, 33, 0, 216, 12, 33, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 18, 0]"
42,*,149.171.126.14,*,*,*,udp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
43,*,149.171.126.15,*,*,*,tcp,FIN,"[12, 0, 64, 0, 18, 78, 0, 210, 151, 26, 25, 173, 1, 98, 200, 0, 32, 238]"
44,*,149.171.126.15,*,*,*,tcp,REQ,"[1, 0, 0, 0, 0, 0, 348, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
45,*,149.171.126.15,*,*,*,tcp,RST,"[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
46,*,149.171.126.15,*,*,*,tcp,CON,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,*,149.171.126.15,*,*,*,udp,INT,"[26, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 30, 32, 0, 0, 1, 17, 29]"
48,*,149.171.126.15,*,*,*,icmp,ECO,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
49,*,149.171.126.15,*,*,*,icmp,MAS,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
50,*,149.171.126.15,*,*,*,icmp,URN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
51,*,149.171.126.15,*,*,*,icmp,no,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
52,*,149.171.126.16,*,*,*,icmp,TST,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
53,*,149.171.126.16,*,*,*,icmp,ECO,"[0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,*,149.171.126.16,*,*,*,tcp,FIN,"[120, 8, 333, 0, 1, 1, 0, 0, 239, 42, 41, 0, 45, 12, 0, 17, 9, 7]"
55,*,149.171.126.16,*,*,*,tcp,CON,"[0, 0, 296, 0, 0, 408, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
56,*,149.171.126.16,*,*,*,tcp,RST,"[0, 0, 0, 0, 0, 1, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,*,149.171.126.16,*,*,*,tcp,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
58,*,149.171.126.16,*,*,*,udp,INT,"[0, 18, 256, 0, 0, 0, 61, 0, 48, 198, 23, 0, 0, 1, 0, 0, 0, 31]"
59,*,149.171.126.16,*,*,*,udp,REQ,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,*,149.171.126.17,*,*,*,tcp,FIN,"[13, 20, 35, 0, 303, 0, 87, 59, 0, 0, 85, 0, 55, 56, 0, 0, 27, 0]"
61,*,149.171.126.17,*,*,*,tcp,ACC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
