index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,*,*,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,*,*,*,*,CON,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,*,*,*,*,*,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
3,10.40.182.1,*,*,*,*,*,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
4,10.40.182.3,*,*,*,*,*,INT,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
5,10.40.182.6,*,*,*,*,*,INT,"[60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 122]"
6,10.40.85.1,*,*,*,*,*,CON,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,10.40.85.1,*,*,*,*,*,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
8,10.40.85.1,*,*,*,*,*,PAR,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
9,10.40.85.1,*,*,*,*,*,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
10,10.40.85.1,*,*,*,*,*,TXD,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
11,10.40.85.10,*,*,*,*,*,CON,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
12,10.40.85.10,*,*,*,*,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
13,10.40.85.10,*,*,*,*,*,INT,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
14,10.40.85.10,*,*,*,*,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
15,10.40.85.30,*,*,*,*,*,CON,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
16,149.171.126.10,*,*,*,*,*,FIN,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.10,*,*,*,*,*,INT,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
18,149.171.126.10,*,*,*,*,*,ECR,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,149.171.126.14,*,*,*,*,*,ECR,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,149.171.126.14,*,*,*,*,*,FIN,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,149.171.126.14,*,*,*,*,*,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 9451, 15750, 9763, 6048, 0, 4, 4, 0]"
22,149.171.126.14,*,*,*,*,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14]"
23,149.171.126.15,*,*,*,*,*,REQ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
24,149.171.126.15,*,*,*,*,*,INT,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,149.171.126.15,*,*,*,*,*,FIN,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,149.171.126.17,*,*,*,*,*,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
27,149.171.126.17,*,*,*,*,*,INT,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,149.171.126.18,*,*,*,*,*,INT,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
29,149.171.126.18,*,*,*,*,*,FIN,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
30,149.171.126.18,*,*,*,*,*,ECR,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
