index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,*,*,*,unknown,*,*,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,*,*,*,unknown,*,*,"[36, 36, 35, 38, 36, 35, 36, 36, 38, 35, 36, 36, 35, 27, 37, 35, 35, 49]"
2,10.40.182.3,*,*,*,unknown,*,*,"[18, 21, 18, 19, 21, 18, 19, 21, 20, 20, 20, 19, 19, 15, 20, 19, 21, 26]"
3,10.40.182.6,*,*,*,unknown,*,*,"[60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 121, 60, 120, 122]"
4,10.40.85.1,*,*,*,unknown,*,*,"[41, 35, 36, 38, 36, 37, 37, 35, 38, 38, 36, 38, 37, 29, 38, 38, 36, 49]"
5,10.40.85.10,*,*,*,dns,*,*,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
6,10.40.85.10,*,*,*,unknown,*,*,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 18, 12, 14, 14, 14, 18]"
7,10.40.85.30,*,*,*,unknown,*,*,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
8,149.171.126.10,*,*,*,unknown,*,*,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,149.171.126.10,*,*,*,dns,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
10,149.171.126.14,*,*,*,http,*,*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,149.171.126.14,*,*,*,unknown,*,*,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 30, 14]"
12,149.171.126.14,*,*,*,dns,*,*,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 9451, 15750, 9763, 6048, 0, 3, 0, 0]"
13,149.171.126.15,*,*,*,unknown,*,*,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
14,149.171.126.15,*,*,*,dns,*,*,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,149.171.126.15,*,*,*,radius,*,*,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,149.171.126.17,*,*,*,unknown,*,*,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
17,149.171.126.17,*,*,*,dns,*,*,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,149.171.126.18,*,*,*,dns,*,*,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
19,149.171.126.18,*,*,*,unknown,*,*,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
