index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,10.40.170.2,*,0,unknown,*,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,10.40.182.3,*,0,unknown,*,CON,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,224.0.0.5,*,0,unknown,*,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
3,10.40.182.1,224.0.0.5,*,0,unknown,*,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
4,10.40.182.3,10.40.182.3,*,0,unknown,*,INT,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
5,10.40.182.6,10.40.182.255,*,138,unknown,*,INT,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
6,10.40.182.6,10.40.182.3,*,0,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
7,10.40.85.1,10.40.85.30,*,0,unknown,*,CON,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
8,10.40.85.1,224.0.0.5,*,0,unknown,*,INT,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2]"
9,10.40.85.1,224.0.0.5,*,0,unknown,*,REQ,"[20, 19, 20, 20, 19, 19, 20, 20, 20, 19, 20, 20, 20, 15, 19, 20, 19, 26]"
10,10.40.85.10,10.40.198.10,*,53,dns,*,INT,"[4, 0, 21, 0, 0, 20, 0, 0, 20, 0, 0, 20, 5, 0, 20, 0, 0, 20]"
11,10.40.85.10,10.40.85.1,*,0,unknown,*,CON,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
12,10.40.85.10,192.168.241.50,*,52233,unknown,*,ECO,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
13,10.40.85.10,192.168.241.50,*,3001,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
14,10.40.85.30,10.40.85.1,*,0,unknown,*,CON,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
15,149.171.126.10,175.45.176.0,*,53,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9617, 12525]"
16,149.171.126.14,175.45.176.0,*,53,dns,*,INT,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,149.171.126.14,175.45.176.0,*,4569,unknown,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]"
18,149.171.126.14,175.45.176.0,*,4569,unknown,*,REQ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14]"
19,149.171.126.14,175.45.176.1,*,53,dns,*,INT,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 9450, 15750, 9763, 6048, 0, 3, 0, 0]"
20,149.171.126.15,175.45.176.3,*,53,dns,*,INT,"[0, 0, 0, 0, 9203, 18630, 8820, 8257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,149.171.126.18,175.45.176.1,*,53,dns,*,INT,"[6601, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,175.45.176.0,149.171.126.14,*,8009,unknown,*,FIN,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,175.45.176.0,149.171.126.14,*,8009,unknown,*,REQ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,175.45.176.0,149.171.126.14,*,514,unknown,*,INT,"[0, 33, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0]"
25,175.45.176.0,149.171.126.14,*,135,unknown,*,FIN,"[0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,175.45.176.0,149.171.126.14,*,179,unknown,*,FIN,"[0, 0, 0, 0, 0, 0, 0, 5, 82, 0, 0, 0, 0, 0, 6, 0, 0, 0]"
