index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count
0,10.40.170.2,10.40.170.2,0,0,unknown,arp,*,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
1,10.40.182.1,10.40.182.3,0,0,unknown,arp,*,"[15, 16, 15, 17, 16, 15, 15, 16, 17, 15, 15, 16, 14, 11, 17, 15, 15, 21]"
2,10.40.182.1,224.0.0.5,0,0,unknown,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
3,10.40.182.3,10.40.182.3,0,0,unknown,arp,*,"[18, 20, 18, 19, 20, 18, 19, 20, 20, 20, 19, 19, 19, 14, 20, 19, 20, 26]"
4,10.40.182.6,10.40.182.255,138,138,unknown,udp,*,"[60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120, 60, 120, 120]"
5,10.40.182.6,10.40.182.3,0,0,unknown,arp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
6,10.40.85.1,10.40.85.30,0,0,unknown,arp,*,"[19, 15, 15, 16, 15, 16, 16, 15, 16, 17, 14, 17, 16, 13, 17, 17, 16, 20]"
7,10.40.85.1,224.0.0.5,0,0,unknown,ospf,*,"[21, 20, 20, 21, 20, 20, 21, 20, 21, 20, 21, 20, 21, 16, 20, 20, 20, 28]"
8,10.40.85.10,10.40.198.10,46811,53,dns,udp,*,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
9,10.40.85.10,10.40.85.1,0,0,unknown,arp,*,"[7, 7, 8, 7, 7, 8, 7, 7, 8, 7, 7, 8, 8, 6, 8, 7, 7, 10]"
10,10.40.85.10,192.168.241.50,2048,52233,unknown,icmp,*,"[7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 7, 6, 6, 7, 7, 8]"
11,10.40.85.10,192.168.241.50,56837,3001,unknown,tcp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
12,10.40.85.30,10.40.85.1,0,0,unknown,arp,*,"[20, 20, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 15, 20, 19, 20, 25]"
13,149.171.126.10,175.45.176.0,1043,53,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4734, 6084]"
14,149.171.126.10,175.45.176.0,47439,53,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4883, 6441]"
15,149.171.126.14,175.45.176.0,32820,53,dns,udp,*,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,149.171.126.14,175.45.176.0,5060,4569,unknown,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14]"
17,149.171.126.14,175.45.176.1,1043,53,dns,udp,*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5175, 8625, 5336, 3312, 0, 0, 0, 0]"
